local_authority,ward,candidate_srn
Bulawayo Municipality,1,1
Bulawayo Municipality,1,2
Bulawayo Municipality,1,3
Bulawayo Municipality,1,4
Bulawayo Municipality,2,5
Bulawayo Municipality,2,6
Bulawayo Municipality,2,7
Bulawayo Municipality,2,8
Bulawayo Municipality,3,9
Bulawayo Municipality,3,10
Bulawayo Municipality,3,11
Bulawayo Municipality,3,12
Bulawayo Municipality,3,13
Bulawayo Municipality,4,14
Bulawayo Municipality,4,15
Bulawayo Municipality,4,16
Bulawayo Municipality,4,17
Bulawayo Municipality,5,18
Bulawayo Municipality,5,19
Bulawayo Municipality,5,20
Bulawayo Municipality,6,21
Bulawayo Municipality,6,22
Bulawayo Municipality,6,23
Bulawayo Municipality,6,24
Bulawayo Municipality,6,25
Bulawayo Municipality,7,26
Bulawayo Municipality,7,27
Bulawayo Municipality,7,28
Bulawayo Municipality,7,29
Bulawayo Municipality,7,30
Bulawayo Municipality,8,31
Bulawayo Municipality,8,32
Bulawayo Municipality,8,33
Bulawayo Municipality,8,34
Bulawayo Municipality,8,35
Bulawayo Municipality,9,36
Bulawayo Municipality,9,37
Bulawayo Municipality,9,38
Bulawayo Municipality,9,39
Bulawayo Municipality,10,40
Bulawayo Municipality,10,41
Bulawayo Municipality,10,42
Bulawayo Municipality,10,43
Bulawayo Municipality,11,44
Bulawayo Municipality,11,45
Bulawayo Municipality,11,46
Bulawayo Municipality,11,47
Bulawayo Municipality,12,48
Bulawayo Municipality,12,49
Bulawayo Municipality,12,50
Bulawayo Municipality,12,51
Bulawayo Municipality,13,52
Bulawayo Municipality,13,53
Bulawayo Municipality,13,54
Bulawayo Municipality,13,55
Bulawayo Municipality,14,56
Bulawayo Municipality,14,57
Bulawayo Municipality,14,58
Bulawayo Municipality,14,59
Bulawayo Municipality,15,60
Bulawayo Municipality,15,61
Bulawayo Municipality,15,62
Bulawayo Municipality,15,63
Bulawayo Municipality,15,64
Bulawayo Municipality,16,65
