Local Authority,Ward,Name of Candidate,Sex,Party,Result
Bulawayo Municipality,1,Ncube Mlandu,M,MDC-T,1 16
Bulawayo Municipality,1,Moyo Bertha,F,ZANU PF,73
Bulawayo Municipality,1,Siso Mbuso,M,MDC,35
Bulawayo Municipality,1,Mpofu Canaan,M,ZAPU,6
Bulawayo Municipality,2,Mataka Sithabile,F,MDC-T,2 60
Bulawayo Municipality,2,Gatsi Barbra,F,ZANU PF,1 21
Bulawayo Municipality,2,Fengu Lucky,F,MDC,70
Bulawayo Municipality,2,Sibanda Ngelethu,M,ZAPU,24
Bulawayo Municipality,3,Moyo Martin Kizack,M,MDC-T,3 09
Bulawayo Municipality,3,Kanjoma Emmanuel,M,ZANU PF,2 22
Bulawayo Municipality,3,Ncube Nkathazo Osca,M,MDC,90
Bulawayo Municipality,3,Dabengwa Nomalanga,F,ZAPU,33
Bulawayo Municipality,3,Moyo Mthulisi,M,Independent,8
Bulawayo Municipality,4,Chigora Silas,M,MDC-T,298
Bulawayo Municipality,4,Malaba Paul,M,MDC,135
Bulawayo Municipality,4,Masunda Charles,M,ZANU PF,93
Bulawayo Municipality,4,Ncube Vivian Stella,M,ZAPU,25
Bulawayo Municipality,5,Banda Gift,M,MDC-T,2 36
Bulawayo Municipality,5,Dube Molina,F,ZANU PF,96
Bulawayo Municipality,5,Sibanda Nozipho E,F,MDC,79
Bulawayo Municipality,6,Ngwenya Thabitha,F,MDC-T,1 92
Bulawayo Municipality,6,Ante Sheila,F,ZANU PF,76
Bulawayo Municipality,6,Richardson Molly Bridget,F,ZAPU,12
Bulawayo Municipality,6,Chiomanzi Tendai B,M,MKD,2
Bulawayo Municipality,6,Fisher Anthea Elizabeth,M,MDC,54
"",,,,,,
"",Bulawayo Municipality,7,Sithole James,M,MDC-T,3 26
"",Bulawayo Municipality,7,Dube Sidingani,M,MDC,54
"",Bulawayo Municipality,7,Kamunda Kephas,M,AKE,11
"",Bulawayo Municipality,7,Tshabalala Sibuzani,M,ZAPU,11
"",Bulawayo Municipality,7,Siziba Sally,F,ZANU (PF),171
"",,,,,,
"",Bulawayo Municipality,8,Maropa Jairos,M,ZANU PF,1 50
"",Bulawayo Municipality,8,Musonda Shilla,F,MDC-T,379
"",Bulawayo Municipality,8,Matsika Gerly,F,MDC,93
"",Bulawayo Municipality,8,Mpofu Geofrey Majuda,M,ZAPU,29
"",Bulawayo Municipality,8,Phiri Siyatsengi,F,AKE,12
"",,,,,,
"",Bulawayo Municipality,9,Moyo Charles,M,MDC-T,3 66
"",Bulawayo Municipality,9,Dube Ebbie,F,ZANU PF,1 28
"",Bulawayo Municipality,9,Ndlovu Samuel Mahlamvana,M,MDC,60
"",Bulawayo Municipality,9,Ncube Sibongile Ntombizodzwa,F,ZAPU,17
"",,,,,,
"",Bulawayo Municipality,10,Masuku Gladys,F,MDC-T,3 58
"",Bulawayo Municipality,10,Moyo Elliot,M,ZANU PF,1 18
"",Bulawayo Municipality,10,Ncube Nqobani,M,MDC,67
"",Bulawayo Municipality,10,Zondo Harry Harrison,M,ZAPU,12
"",,,,,,
"",Bulawayo Municipality,11,Moyo Pilate,M,MDC-T,2 12
"",Bulawayo Municipality,11,Sibanda Rejoice,F,ZANU PF,77
"",Bulawayo Municipality,11,Dladla Mzitshwa Nduna,M,MDC,52
"",Bulawayo Municipality,11,Dube Richard,M,ZAPU,16
"",,,,,,
"",Bulawayo Municipality,12,Mlilo Lilian,F,MDC-T,298
"",Bulawayo Municipality,12,Mpala Maidei,F,MDC,121
"",Bulawayo Municipality,12,Ntini Christopher,M,ZANU PF,41
"",Bulawayo Municipality,12,Khoza Thembeni,F,INDEPENDENT,20
"",,,,,,
"",Bulawayo Municipality,13,Siziba Lot,M,MDC-T,279
"",Bulawayo Municipality,13,Mpofu  Vi Taison,M,ZANU PF,1023
"",Bulawayo Municipality,13,Ngulube Freddy M,M,MDC,39
"",Bulawayo Municipality,13,Ndlovu Sithembile,F,ZAPU,12
"",,,,,,
"",Bulawayo Municipality,14,Chunga Macdonald Venias,M,MDC-T,260
"",Bulawayo Municipality,14,Nkomo Mavis,F,ZANU PF,75
"",Bulawayo Municipality,14,Nyoni Rojasi,M,MDC,46
"",Bulawayo Municipality,14,Ndlovu Zilazila Phinias,M,INDEPENDENT,20
"",,,,,,
"",Bulawayo Municipality,15,Moyo Tamani,M,MDC-T,179
"",Bulawayo Municipality,15,Ncube Robert Msindo,M,MDC,68
"",Bulawayo Municipality,15,Moyo Mabutho Lucky,M,ZANU PF,65
"",Bulawayo Municipality,15,Ndlovu Job,M,ZAPU,9
"",Bulawayo Municipality,15,Kazenga Ignatious,M,ZANU NDONGA,3
"",,,,,,
"",Bulawayo Municipality,16,Sibanda Nephat,M,MDC-T,207
"",Bulawayo Municipality,16,Ndlovu Stella,F,MDC,77
"",Bulawayo Municipality,16,Mlilo Ntandoyenkosi,M,ZANU PF,64
"",Bulawayo Municipality,16,Mabhena Peter,M,ZAPU,12
"",Bulawayo Municipality,16,Mathe Dennis Christopher,M,Independent,11
"",,,,,,
"",Bulawayo Municipality,17,Ncube Ephraim,M,MDC-T,166
"",Bulawayo Municipality,17,Pasipanodya Ottlia,F,ZANU PF,78
"",Bulawayo Municipality,17,Moyo Nqobizitha,M,MDC,47
"",Bulawayo Municipality,17,Kawonga Peaceful,M,A.K.E,21
"",Bulawayo Municipality,17,Ndlovu Patrick,M,ZAPU,15
"",Bulawayo Municipality,18,Dube Oscar,M,MDC,88
"",Bulawayo Municipality,18,Mlalazi Concilia,F,MDC - T,253
"",Bulawayo Municipality,18,Sikhosana Gibson,M,ZAPU,14
"",Bulawayo Municipality,18,Pasipamire Joseph,M,ZANU NDONGA,1
"",Bulawayo Municipality,18,Nkomo Sibelo,M,CTD,1
"",Bulawayo Municipality,18,Mpofu Sindisani,M,ZANU PF,80
"",,,,,,
"",Bulawayo Municipality,19,Zana Clyton,M,MDC-T,215
"",Bulawayo Municipality,19,Moyo Theresa,F,ZANU PF,87
"",Bulawayo Municipality,19,Ncube Kenneth,M,MDC,54
"",Bulawayo Municipality,19,Mahlangu  Alexio,M,ZAPU,20
"",,,,,,
"",Bulawayo Municipality,20,Rafamoyo Ernest,M,MDC-T,221
"",Bulawayo Municipality,20,Sibanda Dennis,M,ZANU PF,94
"",Bulawayo Municipality,20,Senda Sheilla,F,MDC,54
"",Bulawayo Municipality,20,Dube Naison,M,ZAPU,14
"",,,,,,
"",Bulawayo Municipality,21,Matengu Reuben,M,MDC-T,440
"",Bulawayo Municipality,21,Ncube Dinah,F,ZANU PF,112
"",Bulawayo Municipality,21,Mthombeni Dalazana Jethro,M,MDC,50
"",Bulawayo Municipality,21,Ndiweni Liba,F,ZAPU,16
"",,,,,,
"",Bulawayo Municipality,22,Jeze Rodney  D,M,MDC-T,259
"",Bulawayo Municipality,22,Mpofu Yona,F,ZANU PF,80
"",Bulawayo Municipality,22,Ndlovu Spiwe,F,MDC,42
"",Bulawayo Municipality,22,Mlilo Enitha,F,ZAPU,15
"",,,,,,
"",Bulawayo Municipality,23,Ncube Thobani,M,MDC-T,205
"",Bulawayo Municipality,23,Ngwenya Sikhululekile,F,ZANU PF,73
"",Bulawayo Municipality,23,Nyathi Ngwalo,M,MDC,45
"",Bulawayo Municipality,23,Mhlophe Bekezela,F,ZAPU,21
