province,local_authority,ward_no,candidate,sex,party,contested,votes
bulawayo,bulawayo municipality,1,ncube mlandu ,m,mdc-t,1,1165
bulawayo,bulawayo municipality,1,moyo bertha ,f,zanu pf,1,731
bulawayo,bulawayo municipality,1,siso mbuso ,m,mdc,1,353
bulawayo,bulawayo municipality,1,mpofu canaan ,m,zapu,1,62
bulawayo,bulawayo municipality,2,mataka sithabile ,f,mdc-t,1,2609
bulawayo,bulawayo municipality,2,gatsi barbra ,f,zanu pf,1,1215
bulawayo,bulawayo municipality,2,fengu lucky ,f,mdc,1,704
bulawayo,bulawayo municipality,2,sibanda ngelethu ,m,zapu,1,247
bulawayo,bulawayo municipality,3,moyo martin kizack ,m,mdc-t,1,3099
bulawayo,bulawayo municipality,3,kanjoma emmanuel ,m,zanu pf,1,2227
bulawayo,bulawayo municipality,3,ncube nkathazo osca ,m,mdc,1,901
bulawayo,bulawayo municipality,3,dabengwa nomalanga ,f,zapu,1,335
bulawayo,bulawayo municipality,3,moyo mthulisi ,m,independent,1,88
bulawayo,bulawayo municipality,4,chigora silas ,m,mdc-t,1,2983
bulawayo,bulawayo municipality,4,malaba paul ,m,mdc,1,1355
bulawayo,bulawayo municipality,4,masunda charles ,m,zanu pf,1,932
bulawayo,bulawayo municipality,4,ncube vivian stella ,m,zapu,1,258
bulawayo,bulawayo municipality,5,banda gift ,m,mdc-t,1,2361
bulawayo,bulawayo municipality,5,dube molina ,f,zanu pf,1,961
bulawayo,bulawayo municipality,5,sibanda nozipho e ,f,mdc,1,794
bulawayo,bulawayo municipality,6,ngwenya thabitha ,f,mdc-t,1,1926
bulawayo,bulawayo municipality,6,ante sheila ,f,zanu pf,1,767
bulawayo,bulawayo municipality,6,richardson molly bridget ,f,zapu,1,128
bulawayo,bulawayo municipality,6,chiomanzi tendai b ,m,mkd,1,26
bulawayo,bulawayo municipality,6,fisher anthea elizabeth ,m,mdc,1,540
bulawayo,bulawayo municipality,7,sithole james,m,mdc-t,1,3263
bulawayo,bulawayo municipality,7,dube sidingani,m,mdc,1,546
bulawayo,bulawayo municipality,7,kamunda kephas,m,ake,1,116
bulawayo,bulawayo municipality,7,tshabalala sibuzani,m,zapu,1,111
bulawayo,bulawayo municipality,7,siziba sally,f,zanu (pf),1,1710
bulawayo,bulawayo municipality,8,maropa jairos,m,zanu pf,1,1500
bulawayo,bulawayo municipality,8,musonda shilla,f,mdc-t,1,3792
bulawayo,bulawayo municipality,8,matsika gerly,f,mdc,1,934
bulawayo,bulawayo municipality,8,mpofu geofrey majuda,m,zapu,1,292
bulawayo,bulawayo municipality,8,phiri siyatsengi,f,ake,1,122
bulawayo,bulawayo municipality,9,moyo charles,m,mdc-t,1,3663
bulawayo,bulawayo municipality,9,dube ebbie,f,zanu pf,1,1289
bulawayo,bulawayo municipality,9,ndlovu samuel mahlamvana,m,mdc,1,608
bulawayo,bulawayo municipality,9,ncube sibongile ntombizodzwa,f,zapu,1,173
bulawayo,bulawayo municipality,10,masuku gladys,f,mdc-t,1,3580
bulawayo,bulawayo municipality,10,moyo elliot,m,zanu pf,1,1183
bulawayo,bulawayo municipality,10,ncube nqobani,m,mdc,1,678
bulawayo,bulawayo municipality,10,zondo harry harrison,m,zapu,1,124
bulawayo,bulawayo municipality,11,moyo pilate,m,mdc-t,1,2123
bulawayo,bulawayo municipality,11,sibanda rejoice,f,zanu pf,1,779
bulawayo,bulawayo municipality,11,dladla mzitshwa nduna,m,mdc,1,527
bulawayo,bulawayo municipality,11,dube richard,m,zapu,1,160
bulawayo,bulawayo municipality,12,mlilo lilian,f,mdc-t,1,2980
bulawayo,bulawayo municipality,12,mpala maidei,f,mdc,1,1210
bulawayo,bulawayo municipality,12,ntini christopher,m,zanu pf,1,412
bulawayo,bulawayo municipality,12,khoza thembeni,f,independent,1,206
bulawayo,bulawayo municipality,13,siziba lot,m,mdc-t,1,2792
bulawayo,bulawayo municipality,13,mpofuvi taison,m,zanu pf,1,1023
bulawayo,bulawayo municipality,13,ngulube freddy m,m,mdc,1,393
bulawayo,bulawayo municipality,13,ndlovu sithembile,f,zapu,1,129
bulawayo,bulawayo municipality,14,chunga macdonald venias,m,mdc-t,1,2606
bulawayo,bulawayo municipality,14,nkomo mavis,f,zanu pf,1,752
bulawayo,bulawayo municipality,14,nyoni rojasi,m,mdc,1,460
