Province,Local Authority,District,Constituency,Ward No.,Polling Station,Facility,"DabengwaDumiso (ZAPU)","Mugabe RobertGabriel (ZANUPF)","MukwazheMunodeiKisinoti (ZDP)","NcubeWelshman(MDC)","TsvangiraiMorgan (MDC-T)","Total VotesRejected","Ballot PapersUnaccounted for",Total Votes Cast,"Total Valid VotesCast",s
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,City Hall A,Hall,8,154,0,47,345,4,0,558,554,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,City Hall B,Hall,2,101,0,28,186,1,0,318,317,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Eveline High School A,School,2,59,0,19,178,2,0,260,258,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Eveline High School B,School,0,47,0,5,79,0,0,131,131,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Mckeurtan Primary School A,School,1,31,0,4,28,1,0,65,64,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Mckeurtan Primary School B,School,0,7,0,0,7,0,0,14,14,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Milton Junior School A,School,4,43,0,25,169,1,0,242,241,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Milton Junior School B,School,1,27,0,14,71,0,0,113,113,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Old Bulawayo Polytechnic College,Hall,2,108,0,23,123,2,0,258,256,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Robert Tredgold Primary School A,School,0,30,0,0,16,0,0,46,46,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,Robert Tredgold Primary School B,School,1,33,0,5,30,0,0,69,69,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,1,T.M Hyper,Tent,3,103,0,9,137,1,0,253,252,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Airport Primary School,School,4,86,0,12,159,13,0,274,261,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Aiselby Primary School,School,0,9,0,3,45,2,0,59,57,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Baines Infants School,School,1,18,0,4,77,2,0,102,100,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Baines Junior School A,School,7,181,1,37,377,6,0,609,603,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Baines Junior School B,School,2,59,0,13,174,0,0,248,248,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Falls Garage,Tent,4,31,0,3,44,1,0,83,82,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Harrisvale Hide out,Tent,0,33,0,12,70,0,0,115,115,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Hugh Beadle Primary School A,School,3,77,0,20,201,1,0,302,301,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Hugh Beadle Primary School B,School,3,64,1,6,123,1,0,198,197,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Kennilworth Little Angels Pre-School,Pre -School,0,33,0,4,62,1,0,100,99,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Montgomery Hall,Hall,4,65,1,24,180,4,0,278,274,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Newmansford Primary School A,School,0,56,1,16,134,0,0,207,207,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Newmansford Primary School B,School,1,41,0,17,153,5,0,217,212,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Northend Shopping Centre,Tent,1,79,0,31,253,0,0,364,364,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Northlea High School,School,0,45,1,10,74,3,0,133,130,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Norwood,Hall,6,10,1,4,24,1,0,46,45,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Pig Farm (Umvutsha),Tent,2,26,1,6,82,2,0,119,117,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Pink and Blue Pre-School,Pre -School,0,29,0,2,54,0,0,85,85,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Richmond Club,Hall,3,21,0,15,73,5,0,117,112,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Richmond Hall,Hall,12,78,0,25,263,5,0,383,378,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Sauerstown Pre-school (Emasimini),Pre -School,1,73,1,3,58,0,0,136,136,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Tegela Garage,Tent,1,34,1,6,136,0,0,178,178,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Trenance Primary School A,School,2,30,1,20,156,7,3,216,209,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Trenance Primary School B,School,2,31,0,11,137,3,0,184,181,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Umgusa Primary School,School,2,19,0,7,48,0,0,76,76,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,2,Umvutsha Farm (Hall),Hall,0,9,0,1,15,0,0,25,25,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Bagcwele Shopping Centre,Tent,0,25,0,4,48,0,0,77,77,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Bradfield Shopping Centre,Tent,4,63,0,25,243,3,0,338,335,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Bulawayo Polytechnic Main campus,School,1,14,0,3,49,2,0,69,67,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Gifford High School,School,0,41,0,20,160,1,0,222,221,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Girls College A,School,4,6,1,10,71,1,0,93,92,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Girls College B,School,0,12,0,19,70,0,0,101,101,
Bulawayo,Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central,5,Hamilton High School,School,2,29,0,13,124,0,0,168,168,
