Province,Local Authority,District,Constituency,"Wardo.",Polling Station,Facility,"DabengwaDumiso(ZAPU)","Mugabe RobertGabriel (ZANU PF)","MukwazheMunodeiKisinoti(ZDP)","NcubeWelshman(MDC)","Tsvangirai Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccountedfor",Total Votes Cast,"Total Valid VotesCast",
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,1,Open  Space Cr Mabvazuva-Chaminuka Rds,Tent,0,234,1,16,407,11,0,669,658,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,1,Open Space Rufaro Rd Cr Shops,Tent,0,376,2,14,382,9,0,783,774,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,1,Open space Manyame Park Phase 5,Tent,0,176,0,10,157,3,0,346,343,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,2,Shingai A,Primary School,1,180,0,6,261,8,0,456,448,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,2,Shingai B,Primary School,0,174,3,4,203,10,0,394,384,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,2,Shingai c,Primary School,1,186,0,7,233,8,0,435,427,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,2,Zengeza Main,Primary School,0,123,0,8,184,2,0,317,315,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,2,Macheka Grounds H/D Rds,Tent,1,307,1,7,469,10,0,795,785,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,St Marys,Community Hall,0,86,0,5,203,6,0,300,294,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,Mangoromera Bus Terminus,Tent,1,174,,14,235,4,0,428,424,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,Open Space near St Marys Comm Hall,Tent,0,109,0,7,208,4,0,328,324,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,Cnr Chaminuka and Yambukai Rd,Tent,0,117,0,7,199,5,0,328,323,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,Open Space at new shopping centre A,Tent,2,108,0,8,167,4,0,289,285,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,3,Open Space at new shopping centre B,Tent,1,169,1,7,205,6,0,389,383,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Chaminuka* A,Primary School,0,197,1,11,275,4,0,488,484,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Chaminuka* B,Primary School,0,160,0,3,225,3,0,391,388,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Chaminuka* C,Primary School,0,99,1,4,306,4,0,414,410,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Dungwiza A,Primary School,1,141,0,9,199,10,0,360,350,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Dungwiza B,Primary School,0,116,0,2,145,2,0,265,263,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Dungwiza C,Primary School,0,183,0,10,285,6,0,484,478,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Chigovanyika Terminus,Primary School,1,159,0,8,244,6,0,418,412,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,4,Jabula,Hall,1,312,2,9,244,11,0,579,568,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,5,St Marys Area F A,Tent,1,138,0,9,203,4,0,355,351,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,5,St Marys Area F B,Pre-school,1,122,2,8,175,5,0,313,308,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,5,Chigovanyika Car Park A,Tent,1,154,0,12,243,5,0,415,410,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,5,Open Space near grinding mill,Tent,2,160,0,3,157,2,0,324,322,
Harare,Chitungwiza Municipality,Chitungwiza,ST. Marys,5,Chigovanyika Car Park B,Tent,0,75,1,1,177,1,0,255,254,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Pfumo A,Primary School,0,118,0,8,295,3,0,424,421,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Pfumo B,Primary School,0,124,1,6,245,7,0,383,376,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Pfumo C,Primary School,1,116,2,5,221,0,0,345,345,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Zengeza 7 A,Primary School,0,71,0,5,230,7,0,313,306,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Zengeza 7 B,Primary School,0,119,0,10,256,0,0,385,385,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Zengeza 7 C,Primary School,2,102,0,4,205,4,0,317,313,
Harare,Chitungwiza Municipality,Chitungwiza,ST.Marys,8,Zengeza 7 D,Primary School,1,74,0,6,154,2,0,237,235,
