Province,Local Authority,District,Constituency,Ward No.,Polling Station,Facility,"DabengwaDumisoZAPU","Mugabe RobertGabriel    ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for","Total VotesCast","Total ValidVotes Cast",
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Bika Primary School,School,1,273,0,14,186,15,0,489,474,
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Madzimbashuro Clinic,Tent,1,104,1,1,203,4,0,314,310,
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Muteve Primary School,School,7,311,0,15,135,7,0,475,468,
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Nechavava Primary School,School,2,175,0,9,126,8,0,320,312,
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Bedza  Business Centre(Tent),Tent,3,96,0,15,130,11,0,255,244,
Manicaland,Buhera RDC,Buhera,Buhera Central,16,Mudanda Clinic,Tent,1,277,1,2,43,1,0,325,324,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Hukuimwe Primary  School,School,1,121,2,15,71,3,0,213,210,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Sositeni Business Centre (Tent),Tent,3,84,0,3,62,1,0,153,152,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Vhiriri Primary School,School,0,274,0,9,157,3,0,443,440,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Mashingaidze Township(Tent),School,2,141,1,10,40,7,0,201,194,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Mukono Primary School,School,1,109,0,2,33,3,0,148,145,
Manicaland,Buhera RDC,Buhera,Buhera Central,17,Sanga Primary School,School,0,147,0,9,55,7,0,218,211,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manicaland,Buhera RDC,Buhera,Buhera Central,18,Mugombe Primary  School,School,4,345,0,12,209,7,0,577,570,
Manicaland,Buhera RDC,Buhera,Buhera Central,18,Mumbijo Primary School,School,2,210,0,5,74,10,0,301,291,
Manicaland,Buhera RDC,Buhera,Buhera Central,18,Mutauto Primary School,School,1,188,0,10,249,20,0,468,448,
Manicaland,Buhera RDC,Buhera,Buhera Central,18,Nyashanu Primary School,School,3,83,1,6,107,2,0,202,200,
Manicaland,Buhera RDC,Buhera,Buhera Central,18,Mutauto Secondary School,School,4,200,0,4,83,3,0,294,291,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
