Province,District,Local Authority,Constituency,Ward No.,Polling Station Facility,, Dabengwa Dumiso (ZAPU),Mugabe Robert Gabriel (ZANU PF),Mukwazhe Munodei Kisinoti (ZDP),Ncube Welshman (MDC), Tsvangirayi Morgan (MDC-T), Total Votes Rejected, Ballot Papers Unaccounted for,  Total Votes Cast, Total Valid Votes Cast
Mash Central,Bindura,Bindura Municipality,Bindura North,1,Bindura Primary Primary School,,2,519,0,1,385,6,0,913,907
Mash Central,Bindura,Bindura Municipality,Bindura North,1,Bindura Hospital Tent,,0,525,0,8,521,11,0,1065,1054
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,2,Bindura University New Site,,0,183,2,1,86,2,0,274,272
Mash Central,Bindura,Bindura Municipality,Bindura North,2,Shashi Primary Primary School,,0,84,0,2,60,2,0,148,146
Mash Central,Bindura,Bindura Municipality,Bindura North,2,Zimbabwe Open UniversiTtyent,,2,286,1,4,166,5,0,464,459
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,3,Chipindura High Secondary School,,2,80,0,0,81,1,2,164,163
Mash Central,Bindura,Bindura Municipality,Bindura North,3,DA’s Campus Tent,,1,192,0,7,242,2,0,444,442
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,4,Salvation Army Primary School,,1,447,0,7,387,12,0,854,842
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,5,Chipadze A Primary School ‘A’,,0,186,2,0,160,4,0,352,348
Mash Central,Bindura,Bindura Municipality,Bindura North,5,Chipadze B Primary School ‘B’,,2,279,0,10,355,5,0,651,646
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,6,Chipindura A Primary School ‘A’,,1,263,0,6,291,13,0,574,561
Mash Central,Bindura,Bindura Municipality,Bindura North,6,Chipindura B Primary School ‘B’,,0,249,2,9,272,9,0,541,532
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,7,Chipadze High Secondary School,,2,316,1,3,338,9,0,669,660
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,8,Aerodrome  Shopping CenTternet,,3,304,1,7,339,2,0,656,654
Mash Central,Bindura,Bindura Municipality,Bindura North,8,Marian Primary Primary School,,1,302,0,8,327,12,0,650,638
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,9,Chiwaridzo New School BSueilcdoingdary School,,2,311,0,5,216,8,0,542,534
Mash Central,Bindura,Bindura Municipality,Bindura North,9,Chiwaridzo New Service CTeennttre,,0,219,0,5,355,11,0,590,579
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,10,Chiwaridzo Bus Stop Tent,,1,291,0,20,417,10,0,739,729
Mash Central,Bindura,Bindura Municipality,Bindura North,10,Hermann Gmeiner Secondary School,,0,181,0,9,318,5,0,513,508
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,11,Makwinja Street Open SpTaecnet,,3,521,0,17,462,27,0,1030,1003
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura Municipality,Bindura North,12,Chiwaridzo 2 Shopping CeTnetnret,,3,854,1,16,746,28,0,1648,1620
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura RDC,Bindura North,1,Banwell Farm Tent,,1,396,0,0,1,1,0,399,398
Mash Central,Bindura,Bindura RDC,Bindura North,1,Chumbere Primary Primary School,,1,375,1,0,6,3,0,386,383
Mash Central,Bindura,Bindura RDC,Bindura North,1,Dimitra Primary Primary School,,1,502,0,0,13,3,0,519,516
Mash Central,Bindura,Bindura RDC,Bindura North,1,Manga Primary Primary School,,0,1014,0,0,7,11,2,1032,1021
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura RDC,Bindura North,2,Ashcott Primary Primary School,,1,240,0,0,1,1,0,243,242
Mash Central,Bindura,Bindura RDC,Bindura North,2,Azikara Farm Tent,,0,397,1,0,1,0,0,399,399
Mash Central,Bindura,Bindura RDC,Bindura North,2,Frinton Farm Tent,,6,461,1,0,2,5,0,475,470
Mash Central,Bindura,Bindura RDC,Bindura North,2,Matepatepa Country ClubCountry Club,,1,592,0,0,5,1,0,599,598
Mash Central,Bindura,Bindura RDC,Bindura North,2,Mazunga Primary Primary School,,1,542,0,0,3,7,0,553,546
Mash Central,Bindura,Bindura RDC,Bindura North,2,Terragwaai Farm Tent,,0,120,0,0,0,0,0,120,120
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura RDC,Bindura North,3,Chomukute Farm Tent,,4,427,0,0,10,4,0,445,441
Mash Central,Bindura,Bindura RDC,Bindura North,3,Duntarvie Farm Tent,,0,234,0,0,4,5,0,243,238
Mash Central,Bindura,Bindura RDC,Bindura North,3,Felton Farm Tent,,1,332,0,0,9,1,0,343,342
Mash Central,Bindura,Bindura RDC,Bindura North,3,Hinton Estates Tent,,3,382,0,0,5,34,0,424,390
Mash Central,Bindura,Bindura RDC,Bindura North,3,Lagnaha Farm Tent,,3,274,0,0,6,3,0,286,283
Mash Central,Bindura,Bindura RDC,Bindura North,3,Mabwemachena SecondaSreycondary School,,2,687,0,2,9,3,0,703,700
Mash Central,Bindura,Bindura RDC,Bindura North,3,Makori Range Primary Primary School,,2,245,0,0,2,1,0,250,249
Mash Central,Bindura,Bindura RDC,Bindura North,3,Rosetta Rust Primary Primary School,,1,830,0,1,34,10,0,876,866
,,,,,,,,,,,,,,,
Mash Central,Bindura,Bindura RDC,Bindura North,4,Bodele Farm Tent,,1,91,0,0,0,2,0,94,92
Mash Central,Bindura,Bindura RDC,Bindura North,4,Chevakadzi ResettlementTent,,4,184,0,1,1,1,0,191,190
