Province,Local Authority,District,Constituency,Ward No.,POLLING STATIONS,FACILITY,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU(PF)","MukwazheMunodei KisinotiZDP","Ncube WelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccountedfor",Total Votes Cast,"Total Valid VotesCast"
Mash East,Chikomba RDC,Chikomba,Chikomba Central,3,Chomunhenzva,Primary School,0,72,0,7,92,3,0,174,171
Mash East,Chikomba RDC,Chikomba,Chikomba Central,3,Dombo,Primary School,0,46,1,3,55,0,0,105,105
Mash East,Chikomba RDC,Chikomba,Chikomba Central,3,Matirige,Primary School,2,77,0,4,38,3,0,124,121
Mash East,Chikomba RDC,Chikomba,Chikomba Central,3,Zabe,Primary School,0,49,0,3,36,1,0,89,88
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,14,Banza,Primary School,0,48,0,2,73,1,0,124,123
Mash East,Chikomba RDC,Chikomba,Chikomba Central,14,Bvumbura,Primary School,0,64,0,3,59,2,0,128,126
Mash East,Chikomba RDC,Chikomba,Chikomba Central,14,Chikwidibire,Primary School,1,111,0,5,52,0,0,169,169
Mash East,Chikomba RDC,Chikomba,Chikomba Central,14,Murezi,Primary School,0,102,0,7,69,2,0,180,178
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Assisi,Secondary School,0,20,0,3,23,0,0,46,46
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Badza,Primary School,0,188,0,10,90,2,0,290,288
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Hokonya,Primary School,4,309,0,20,149,6,0,488,482
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Madzivire,Primary School,3,275,0,8,150,2,0,438,436
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Masunda,Primary School,1,100,0,8,68,0,0,177,177
Mash East,Chikomba RDC,Chikomba,Chikomba Central,16,Nhidza,Primary School,2,224,2,12,118,7,0,365,358
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,17,Mahusvu,Primary School,12,438,2,21,199,12,0,684,672
Mash East,Chikomba RDC,Chikomba,Chikomba Central,17,Masasa A,Primary School,2,402,1,31,123,5,0,564,559
Mash East,Chikomba RDC,Chikomba,Chikomba Central,17,Masasa B,Primary School,6,351,5,18,134,15,0,529,514
Mash East,Chikomba RDC,Chikomba,Chikomba Central,17,Mashambamuto,Primary School,1,182,0,14,57,0,0,254,254
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,18,Chirume,Primary School,3,102,0,5,106,3,0,219,216
Mash East,Chikomba RDC,Chikomba,Chikomba Central,18,Mupfuririrwa,Primary School,0,113,1,3,59,7,0,183,176
Mash East,Chikomba RDC,Chikomba,Chikomba Central,18,Nyahoni,Primary School,3,180,0,10,58,6,0,257,251
Mash East,Chikomba RDC,Chikomba,Chikomba Central,18,Zheke,Primary School,5,164,0,17,151,8,0,345,337
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,19,Bvumbura,Church,3,388,0,8,67,12,0,478,466
Mash East,Chikomba RDC,Chikomba,Chikomba Central,19,Daramombe,Secondary School,0,85,0,5,56,1,0,147,146
Mash East,Chikomba RDC,Chikomba,Chikomba Central,19,Guvakuva,Primary School,2,102,0,5,43,2,0,154,152
Mash East,Chikomba RDC,Chikomba,Chikomba Central,19,Mudavanhu,Primary School,5,147,2,8,120,8,0,290,282
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,20,Govere,Secondary School,6,224,2,14,121,10,0,377,367
Mash East,Chikomba RDC,Chikomba,Chikomba Central,20,Munyimi,Primary School,6,263,3,25,117,7,0,421,414
Mash East,Chikomba RDC,Chikomba,Chikomba Central,20,Zhenje,Primary School,4,124,0,11,70,3,0,212,209
Mash East,Chikomba RDC,Chikomba,Chikomba Central,20,Zinatsa,Secondary School,2,344,2,27,153,7,0,535,528
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,21,Ranga,Primary School,2,108,0,29,62,6,0,207,201
Mash East,Chikomba RDC,Chikomba,Chikomba Central,21,St Pauls Kuimba,Primary School,4,190,0,41,164,3,0,402,399
Mash East,Chikomba RDC,Chikomba,Chikomba Central,21,Unyetu,Primary School,2,172,1,86,119,18,0,398,380
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,22,Domboramavara,Primary School,5,311,1,23,199,11,0,550,539
Mash East,Chikomba RDC,Chikomba,Chikomba Central,22,Kwenda,Secondary School,5,311,0,14,137,4,0,471,467
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba Central,23,Chikwezvero,Primary School,3,200,2,13,120,7,0,345,338
Mash East,Chikomba RDC,Chikomba,Chikomba Central,23,Chokodza,Primary School,0,183,0,17,140,14,0,354,340
Mash East,Chikomba RDC,Chikomba,Chikomba Central,23,Manhanzva,Primary School,7,282,2,12,91,16,0,410,394
Mash East,Chikomba RDC,Chikomba,Chikomba Central,23,Rutanhira,Primary School,0,147,0,5,85,2,0,239,237
Mash East,Chikomba RDC,Chikomba,Chikomba Central,23,Zvamatobwe,Primary School,3,264,1,17,166,1,0,452,451
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba East,24,Munyoro Business Centre,Tent,1,247,1,9,131,6,0,395,389
Mash East,Chikomba RDC,Chikomba,Chikomba East,24,Nangabwe,Primary School,2,135,1,12,155,11,1,316,305
Mash East,Chikomba RDC,Chikomba,Chikomba East,24,Warikandwa,Primary School,4,344,3,17,184,12,0,564,552
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Masvaure,Primary School,3,194,2,7,70,11,0,287,276
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Mudawarima,Primary School,2,296,1,15,117,3,0,434,431
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Mutoredzanwa,Primary School,9,122,0,7,115,4,0,257,253
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Ruuke,Primary School,2,141,0,8,79,2,0,232,230
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Sadza,Hall,5,220,0,20,284,4,0,533,529
Mash East,Chikomba RDC,Chikomba,Chikomba East,25,Sadza School,Primary School,6,237,1,11,97,22,0,374,352
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash East,Chikomba RDC,Chikomba,Chikomba East,26,Chimombe,Primary School,4,181,0,7,60,3,0,255,252
Mash East,Chikomba RDC,Chikomba,Chikomba East,26,Chisaira,Primary School,7,160,1,6,69,0,0,243,243
Mash East,Chikomba RDC,Chikomba,Chikomba East,26,Dowororwa,Primary School,2,166,0,4,28,5,0,205,200
Mash East,Chikomba RDC,Chikomba,Chikomba East,26,Mudoti St Faith,Primary School,2,137,0,4,37,2,0,182,180
Mash East,Chikomba RDC,Chikomba,Chikomba East,26,Mupatsi,Primary School,1,167,0,5,65,3,0,241,238
