Province,DISTRICT,LOCAL AUTHORITY,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso (ZAPU)","Mugabe Robert Gabriel(ZANU PF)","MukwazheMunnodeiKissnote (ZDP)","Ncube Welshman(MDC)","Tsvangirayi Morgan(MDC-T)","Total VotesRejected","Ballot PapersUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Chimoio Business Centre,Tent,1,139,1,12,136,4,0,293,289
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Gurungwa Primary,School,0,333,0,5,48,2,0,388,386
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Hungwe Primary,School,0,347,0,7,118,5,0,477,472
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Neuso Business Centre,Shed,1,373,1,6,102,4,0,487,483
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Neuso Primary School,School,1,222,0,7,109,13,0,352,339
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Nyatsambo Primary,School,3,160,1,10,128,4,0,306,302
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,Nyatsanga Primary,School,2,217,1,17,271,9,0,517,508
Mash West,Chegutu,Chegutu RDC,Chegutu East,2,St  Mathias Rukuma Primary,School,0,10,0,2,39,2,0,53,51
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Chegutu,Chegutu RDC,Chegutu East,3,Chirundazi Primary,School,2,256,2,17,146,9,0,432,423
Mash West,Chegutu,Chegutu RDC,Chegutu East,3,Chishoshe Primary,School,0,160,0,11,177,1,0,349,348
Mash West,Chegutu,Chegutu RDC,Chegutu East,3,Musinami Clinic,shed,3,308,1,13,260,8,0,593,585
Mash West,Chegutu,Chegutu RDC,Chegutu East,3,St Marks Primary,School,0,193,0,11,171,7,0,382,375
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mash West,Chegutu,Chegutu RDC,Chegutu East,11,French Hoek Farm,Tent,1,203,1,6,43,2,0,256,254
