Province,Local Authority,District,Constituency,"WardNo.",Polling Station,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Masvingo,Bikita RDC,Bikita,Bikita South,1,Mukatawa Village,Tent,2,121,1,0,36,5,0,165,160
Masvingo,Bikita RDC,Bikita,Bikita South,1,Chomukonde Primary Sch,School,1,160,2,4,86,5,0,258,253
Masvingo,Bikita RDC,Bikita,Bikita South,1,Magocha Primary,School,4,199,0,8,62,8,0,281,273
Masvingo,Bikita RDC,Bikita,Bikita South,1,Gawa Primary,School,6,301,2,7,66,21,0,403,382
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,2,Bambaninga Primary Sch,School,2,184,1,23,165,13,0,388,375
Masvingo,Bikita RDC,Bikita,Bikita South,2,Maringira B/hle,Tent,2,208,0,0,23,9,0,242,233
Masvingo,Bikita RDC,Bikita,Bikita South,2,Mashoko CPS,School,1,313,0,12,81,3,0,410,407
Masvingo,Bikita RDC,Bikita,Bikita South,2,Mashoko High Sch,School,5,242,1,24,130,7,0,409,402
Masvingo,Bikita RDC,Bikita,Bikita South,2,Mukanga Primary Sch,School,1,202,1,19,107,10,0,340,330
Masvingo,Bikita RDC,Bikita,Bikita South,2,Old Mashoko Chief's Hall,Hall,5,234,1,10,82,9,0,341,332
Masvingo,Bikita RDC,Bikita,Bikita South,2,Zindove Primary Sch,School,3,211,5,7,65,8,0,299,291
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,3,Chiremwaremwa Primary S,Shchool,4,275,0,10,87,9,0,385,376
Masvingo,Bikita RDC,Bikita,Bikita South,3,Mafaune Primary Sch,School,7,252,6,26,124,18,0,433,415
Masvingo,Bikita RDC,Bikita,Bikita South,3,Magaisa B/Centre,Tent,9,241,7,19,127,5,0,408,403
Masvingo,Bikita RDC,Bikita,Bikita South,3,Odzi Clinic,Clinic,3,148,1,7,128,4,0,291,287
Masvingo,Bikita RDC,Bikita,Bikita South,3,Odzi Sec Sch,School,5,182,2,16,111,13,0,329,316
Masvingo,Bikita RDC,Bikita,Bikita South,3,Tabudirira Sec Sch,School,10,289,0,14,69,7,0,389,382
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,4,Bengura Primary Sch,School,0,169,0,7,78,7,0,261,254
Masvingo,Bikita RDC,Bikita,Bikita South,4,Ganyata Business Centre,Tent,6,191,2,19,122,12,0,352,340
Masvingo,Bikita RDC,Bikita,Bikita South,4,Jaravani Primary Sch,School,2,146,0,13,68,9,0,238,229
Masvingo,Bikita RDC,Bikita,Bikita South,4,Matsvange Roman Catholic,Church,4,227,2,8,45,4,0,290,286
Masvingo,Bikita RDC,Bikita,Bikita South,4,Mazungunye Primary Sch,School,1,247,0,7,68,12,0,335,323
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,6,Garanje Primary Sch,School,7,189,0,23,153,11,0,383,372
Masvingo,Bikita RDC,Bikita,Bikita South,6,Gudo Primary Sch,School,7,112,3,24,176,12,0,334,322
Masvingo,Bikita RDC,Bikita,Bikita South,6,Kushingirira Sec Sch,School,3,179,1,18,124,7,0,332,325
Masvingo,Bikita RDC,Bikita,Bikita South,6,Mutikizizi Primary Sch,School,4,197,1,6,45,6,0,259,253
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Masvingo,Bikita RDC,Bikita,Bikita South,7,Chipendeke Sec Sch,School,9,283,1,8,105,9,0,415,406
Masvingo,Bikita RDC,Bikita,Bikita South,7,Gwariro Primary Sch,School,4,171,0,13,89,13,0,290,277
Masvingo,Bikita RDC,Bikita,Bikita South,7,Ziki Primary Sch,School,5,314,1,4,44,8,0,376,368
