Province,Local Authority,District,CONSTITUENCY,"WardNo.",Polling Stations,Facility,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANUPF","MukwazheMunodeiKisinoti ZDP","NcubeWelshmanMDC","TsvangirayiMorgan  MDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"Total Valid VotesCast"
Mat North,Binga RDC,Binga,Binga North,1,Sizemba Primary,School,9,151,0,15,180,26,0,381,355
Mat North,Binga RDC,Binga,Binga North,1,Luunga Primary,School,0,70,2,33,99,15,0,219,204
Mat North,Binga RDC,Binga,Binga North,1,Sinamusanga primary,School,5,247,2,25,156,21,0,456,435
Mat North,Binga RDC,Binga,Binga North,1,Mujere DDF Camp,Tent,0,10,1,2,10,2,0,25,23
Mat North,Binga RDC,Binga,Binga North,1,Nsengwa Camp,Tent,1,34,0,0,12,0,0,47,47
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,2,Siabuwa Primary,School,4,160,2,27,155,18,0,366,348
Mat North,Binga RDC,Binga,Binga North,2,"Chabwidi BusinessCentre",Tent,1,205,1,1,31,32,0,271,239
Mat North,Binga RDC,Binga,Binga North,2,Kalonga Primary,School,4,22,5,42,277,22,0,372,350
Mat North,Binga RDC,Binga,Binga North,2,"Nakasako CommunityCentre",Tent,5,25,3,11,168,12,0,224,212
Mat North,Binga RDC,Binga,Binga North,2,Siabuwa High,School,6,78,6,23,167,24,0,304,280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,3,Nagangala  Primary,School,14,80,10,39,301,27,0,471,444
Mat North,Binga RDC,Binga,Binga North,3,Sinampande Primary,School,7,122,1,31,318,68,0,547,479
Mat North,Binga RDC,Binga,Binga North,3,Zuulangubo Store,Tent,7,57,4,19,276,19,0,382,363
Mat North,Binga RDC,Binga,Binga North,3,Nsambala,Community Centr,3,28,2,27,177,14,0,251,237
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,4,Mucheni Primary,School,1,25,5,43,306,13,0,393,380
Mat North,Binga RDC,Binga,Binga North,4,Sinansengwe Primary,School,2,30,4,32,254,45,0,367,322
Mat North,Binga RDC,Binga,Binga North,4,"Sinansengwe BusinessCentre",Tent,1,31,3,10,49,15,0,109,94
Mat North,Binga RDC,Binga,Binga North,4,Chitete II Primary,School,0,17,0,10,75,1,0,103,102
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,5,Nsenga Pry,School,0,255,4,27,297,22,0,605,583
Mat North,Binga RDC,Binga,Binga North,5,Chininga Pry,School,2,96,1,12,221,30,0,362,332
Mat North,Binga RDC,Binga,Binga North,5,Dongamuse Pry,School,1,71,2,5,318,5,0,402,397
Mat North,Binga RDC,Binga,Binga North,5,Nsungwale Pry,School,2,53,2,25,155,36,0,273,237
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,6,Samende Pry,School,4,63,2,37,407,47,0,560,513
Mat North,Binga RDC,Binga,Binga North,6,Manjolo Secondary,School,1,31,2,22,291,12,0,359,347
Mat North,Binga RDC,Binga,Binga North,6,Musenampongo Pry,School,3,15,0,23,244,24,0,309,285
Mat North,Binga RDC,Binga,Binga North,6,Damba Pry,School,0,34,4,40,298,11,0,387,376
Mat North,Binga RDC,Binga,Binga North,6,Manjolo Creche,Pre School,1,41,1,14,385,16,0,458,442
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,7,Manjolo Pry,School,3,163,4,17,269,46,0,502,456
Mat North,Binga RDC,Binga,Binga North,7,Miita Community Centre,Tent,3,140,2,25,164,17,0,351,334
Mat North,Binga RDC,Binga,Binga North,7,Bulawayo Kraal Pry,School,6,175,10,37,273,33,0,534,501
Mat North,Binga RDC,Binga,Binga North,7,Nalubuyu Social Centre,Tent,3,87,2,7,172,15,0,286,271
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,8,Simatelele Pry,School,5,108,8,35,411,13,0,580,567
Mat North,Binga RDC,Binga,Binga North,8,"Sebungwe MouthPrimary",School,3,16,2,19,263,12,0,315,303
Mat North,Binga RDC,Binga,Binga North,8,"Simatelele Fishing CampTurn-off",Tent,3,46,5,21,317,29,0,421,392
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,9,Sianzyundu Secondary,School,2,278,4,26,554,23,0,887,864
Mat North,Binga RDC,Binga,Binga North,9,"Ndalisanga BusinessCentre",Tent,1,117,1,11,320,31,0,481,450
Mat North,Binga RDC,Binga,Binga North,9,Junamina Pry,School,0,107,1,17,186,27,0,338,311
Mat North,Binga RDC,Binga,Binga North,9,"Mangani BusinessCentre",Tent,0,148,0,13,284,39,0,484,445
Mat North,Binga RDC,Binga,Binga North,9,D D F Pool  Camp,Tent,1,35,0,13,137,12,0,198,186
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,10,Siachilaba  Pry,School,1,68,4,31,405,17,0,526,509
Mat North,Binga RDC,Binga,Binga North,10,Gaza Pry,School,0,32,1,15,299,12,0,359,347
Mat North,Binga RDC,Binga,Binga North,10,Bunsiwa,Pre School,3,48,0,11,225,18,0,305,287
Mat North,Binga RDC,Binga,Binga North,10,Nkalange prop clinic,Tent,1,43,1,6,118,30,0,199,169
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,11,Lubu Primary,School,4,102,3,16,252,24,0,401,377
Mat North,Binga RDC,Binga,Binga North,11,Lubu Business Centre,Tent,2,183,6,15,207,12,0,425,413
Mat North,Binga RDC,Binga,Binga North,11,"Clean Water CommunityCentre",Tent,0,46,2,8,89,4,0,149,145
Mat North,Binga RDC,Binga,Binga North,11,Chilelema Pry,School,1,60,3,13,232,28,0,337,309
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,12,Muchesu Primary,School,4,191,5,21,312,10,0,543,533
Mat North,Binga RDC,Binga,Binga North,12,Maacha -Pre school,Tent,1,31,1,4,140,4,0,181,177
Mat North,Binga RDC,Binga,Binga North,12,Manchinga,Tent,5,82,1,10,153,10,0,261,251
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat North,Binga RDC,Binga,Binga North,22,Siamupa Primary,School,13,263,5,37,364,39,0,721,682
Mat North,Binga RDC,Binga,Binga North,22,Sinamwenda Pry,School,4,107,0,6,95,14,0,226,212
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
