Province,Local Authorithy,District,Constituency,"WardNo.",Polling Station,Facility,"Dabengwa DumisoZAPU","Mugabe RobertGabriel ZANU PF","Mukwashe MunodeiKisinoti ZDP","Ncube WelshmanMDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Chiweshe A,Primary School,3,139,0,5,67,6,0,220,214
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Chiweshe B,Primary School,0,124,0,3,74,6,0,207,201
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Magada,Primary School,3,126,0,4,50,6,0,189,183
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Majandu,Primary School,0,98,0,8,86,6,0,198,192
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Mapiravana,Secondary School,3,144,2,10,99,3,0,261,258
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,1,Mapiravana,Primary School,3,74,1,7,74,2,0,161,159
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,2,Chaka,Clinic - Tent,3,106,0,3,53,0,0,165,165
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,2,Gonawapotera A,Secondary school,2,110,1,2,161,3,0,279,276
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,2,Gonawapotera B,Secondary school,1,117,1,6,125,4,0,254,250
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,2,Makanya A,Primary School,5,173,5,13,106,12,0,314,302
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,2,Makanya B,Primary School,4,114,1,9,53,3,0,184,181
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Chilimanzi A,Primary School,0,80,0,5,82,5,0,172,167
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Chilimanzi B,Primary School,2,69,0,4,47,4,0,126,122
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Chivona,Secondary School,3,114,1,6,105,7,0,236,229
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Mhende,Primary School,5,199,4,11,111,11,0,341,330
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Mutya,Primary School,0,175,2,2,78,9,0,266,257
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,3,Vhudzi,Primary School,2,55,3,9,127,3,0,199,196
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,4,Chengwena,Clinic - Tent,0,109,0,0,25,2,0,136,134
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,4,Chengwena,Secondary school,1,208,0,4,59,2,0,274,272
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,4,Chizvinire,Primary School,0,86,0,5,37,0,0,128,128
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,4,Juru/Godza BC,Tent,1,152,0,7,47,5,0,212,207
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,5,Chimbindi,Primary School,1,127,2,3,114,8,0,255,247
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,5,Chizhou A,Secondary school,0,93,1,2,63,2,0,161,159
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,5,Chizhou B,Secondary school,1,71,0,8,68,2,0,150,148
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,5,Muzeza,Primary School,0,111,0,9,112,3,0,235,232
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,5,Nhomboka,Primary School,5,119,1,3,66,5,0,199,194
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,6,Chipenzi BC,Tent,1,126,1,10,59,3,0,200,197
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,6,Gambiza,Primary  School,0,132,1,10,77,3,0,223,220
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,6,Holy Cross,Secondary school,0,40,1,2,80,3,0,126,123
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,6,Holy Cross BC,Tent,0,84,0,3,100,3,0,190,187
Midlands,Takawira RDC,Chirumanzu,Chirumanzu,6,Hwata,Primary School,0,88,1,0,38,5,0,132,127
