province,dabengwa_zapu,mugabe_zanu_pf,mukwazhe_kisinoti,ncube_mdc,tsvangirayi_mdc_t,rejected,votes
bulawayo,"1,926","31,773",159,"9,356","89,207","1,277","133,698"
harare,843,"172,163",361,"7,846","261,925","6,167","449,305"
manicaland,"3,374","258,026","1,514","13,433","180,552","11,033","467,932"
mash central,"2,182","327,455",615,"3,525","46,533","6,678","386,988"
mash east,"2,212","320,719",795,"6,231","90,165","6,731","426,853"
mash west,"2,066","277,312",883,"5,603","100,616","7,683","394,163"
masvingo,"3,855","285,806","1,515","9,878","104,912","9,804","415,770"
mat north,"3,034","81,207","1,352","13,003","98,596","6,490","203,682"
mat south,"2,776","81,180","1,166","12,726","58,633","3,592","160,073"
midlands,"3,148","274,793","1,571","11,036","141,210","9,825","441,583"
total,"25,416","2,110,434","9,931","92,637","1,172,349","69,280","3,480,047"
pct_of_vote,0.7,60.6,0.3,2.7,33.7,2,100
