,,RESULTS OF POLL,,
,,,,
,In respect of,"Chikomba Central Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Chikomba Central Constituency, the results are as follows:",Chandiwana Ngonidzashe,,,1456
"Chikomba Central Constituency, the results are as follows:",,M,Independent,
"Chikomba Central Constituency, the results are as follows:",Shiri,,,
"Chikomba Central Constituency, the results are as follows:",Denga Piniel,M,MDC-Alliance,4537
"Chikomba Central Constituency, the results are as follows:",Mhona Felix Tapiwa,M,ZANU PF,7543
"Chikomba Central Constituency, the results are as follows:",,,Build Zimbabwe,93
"Chikomba Central Constituency, the results are as follows:",Mugaduyi Situta,M,,
"Chikomba Central Constituency, the results are as follows:",,,Alliance,
"Chikomba Central Constituency, the results are as follows:",,,United Democracy,70
"Chikomba Central Constituency, the results are as follows:",Mugova Eddington,M,,
"Chikomba Central Constituency, the results are as follows:",,,Movement,
"Chikomba Central Constituency, the results are as follows:",,,People’s Rainbow,176
"Chikomba Central Constituency, the results are as follows:",Muwungani Thanks,M,,
"Chikomba Central Constituency, the results are as follows:",,,Coalition,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Chikomba East Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Chikomba East Constituency, the results are as follows:",,,People’s Rainbow,344
"Chikomba East Constituency, the results are as follows:",Chivige Rapheal,M,,
"Chikomba East Constituency, the results are as follows:",,,Coalition,
"Chikomba East Constituency, the results are as follows:",Dahwa Lawrence Enock,M,MDC-Alliance,3595
"Chikomba East Constituency, the results are as follows:",Kanhutu Irene Nzenza,F,ZANU PF,7972
"Chikomba East Constituency, the results are as follows:",,,Zimbabwe African,60
"Chikomba East Constituency, the results are as follows:",Katsenga Derek,M,People’s Union,
"Chikomba East Constituency, the results are as follows:",,,Zimbabwe Partnership,104
"Chikomba East Constituency, the results are as follows:",Tangazu Debra,F,for Prosperity,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Chikomba West Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Chikomba West Constituency, the results are as follows:",Madhuveko Jeremia,M,MDC-T,1661
"Chikomba West Constituency, the results are as follows:",,,People’s Rainbow,325
"Chikomba West Constituency, the results are as follows:",Madyangove Chrispen,M,Coalition,
"Chikomba West Constituency, the results are as follows:",,,Zimbabwe Partnership for,309
"Chikomba West Constituency, the results are as follows:",Magawa Anderson,M,Prosperity,
"Chikomba West Constituency, the results are as follows:",Mangwiro John,,,17079
"Chikomba West Constituency, the results are as follows:",Chamunorwa,M,ZANU PF,
"Chikomba West Constituency, the results are as follows:",Mutodza Antony,M,MDC-AllianceParty,5575
,,RESULTS OF POLL,,
,,,,
,In respect of,"Goromonzi North Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Goromonzi North Constituency, the results are as follows:",Bvute Ozias,M,ZANU PF,17277
"Goromonzi North Constituency, the results are as follows:",,,People’s Rainbow,289
"Goromonzi North Constituency, the results are as follows:",Mapira Bindu Allan,M,Coalition,
"Goromonzi North Constituency, the results are as follows:",,,Zimbabwe Partnership for,127
"Goromonzi North Constituency, the results are as follows:",Muriyengwe Brian,M,Prosperity,
"Goromonzi North Constituency, the results are as follows:",Samanyanga,,,1237
"Goromonzi North Constituency, the results are as follows:",George,M,MDC-T,
"Goromonzi North Constituency, the results are as follows:",Sauka  Ellard,M,MDC-Alliance.,5362
,,RESULTS OF POLL,,
,In respect of,"Goromonzi  South Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Goromonzi  South Constituency, the results are as follows:",Chauke Grace,F,MDC-T,2443
"Goromonzi  South Constituency, the results are as follows:",Chikudo Rueben,M,MDC-Alliance,32423
"Goromonzi  South Constituency, the results are as follows:",Chimunhu Albert,M,Zimbabwe Labour Party,277
"Goromonzi  South Constituency, the results are as follows:",Chiridza Clive,M,Independent.,289
"Goromonzi  South Constituency, the results are as follows:",,,United African National,118
"Goromonzi  South Constituency, the results are as follows:",Chiwashira Licious,M,Council.,
"Goromonzi  South Constituency, the results are as follows:",,,Zimbabwe Partnership,190
"Goromonzi  South Constituency, the results are as follows:",Chiyangwa Shelton,M,for Prosperity,
"Goromonzi  South Constituency, the results are as follows:",Gwanzura Oswell Ndumo,M,Independent.,4735
"Goromonzi  South Constituency, the results are as follows:",Kagonye Petronella,F,ZANU PF,18821
"Goromonzi  South Constituency, the results are as follows:",Makoni Dominic  Mufudzi,M,Independent.,294
"Goromonzi  South Constituency, the results are as follows:",Makore Eugene,M,Independent.,224
"Goromonzi  South Constituency, the results are as follows:",Mangate Hazel,F,NCA,127
"Goromonzi  South Constituency, the results are as follows:",,,People’s  Rainbow,176
"Goromonzi  South Constituency, the results are as follows:",Mugariwa Jullean,F,Coalition,
"Goromonzi  South Constituency, the results are as follows:",Muwodzeri Thomas,M,Independent.,1257
"Goromonzi  South Constituency, the results are as follows:",Vengai Ephraim,F,Independent,77
,,,,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Goromonzi West Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Goromonzi West Constituency, the results are as follows:",Karimatsenga,,,
"Goromonzi West Constituency, the results are as follows:",Nyamupinga Biata,,,2909
"Goromonzi West Constituency, the results are as follows:",Beatrice,F,Independent,
"Goromonzi West Constituency, the results are as follows:",,,People’s Rainbow Coalition,425
"Goromonzi West Constituency, the results are as follows:",Machokoto Cryton,M,Party.,
"Goromonzi West Constituency, the results are as follows:",Mutodi Energy,M,ZANU PF,12384
"Goromonzi West Constituency, the results are as follows:",Muzonikwa Ndanga,,,
"Goromonzi West Constituency, the results are as follows:",Ronald Paidamoyo,M,United African National Council,122
"Goromonzi West Constituency, the results are as follows:",Nhamburo Taurai Clifford,M,MDC-Alliance Party,10274
"Goromonzi West Constituency, the results are as follows:",Tamborinyoka Luke,,,
