,RESULTS OF POLL,,,
,,,,
,"In respect of CHIRUMANZU Constituency, the results are as follows:",,,
,,,,
Constituency,Name of Candidate Sex Party  Votes Receive,,,
"In respect of CHIRUMANZU Constituency, the results are as follows:",Mukashi Simbarashe,M,MDC Alliance,4855
"In respect of CHIRUMANZU Constituency, the results are as follows:",Ndiya Shingirirai,,,247
"In respect of CHIRUMANZU Constituency, the results are as follows:",Michael,M,PRC,
"In respect of CHIRUMANZU Constituency, the results are as follows:",Rwodzi  Barbara,F,ZANU PF,11144
"In respect of CHIRUMANZU Constituency, the results are as follows:",Vurawa Casian,,,81
"In respect of CHIRUMANZU Constituency, the results are as follows:",Kufakunesu,M,APA,
"In respect of CHIRUMANZU Constituency, the results are as follows:",RESULTS OF POLL,,,
"In respect of CHIRUMANZU Constituency, the results are as follows:",,,,
,"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",,,
,follows:,,,
Constituency,Name of Candidate Sex Party  Votes Receive,,,
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Kurasha George,M,NPF,509
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Machando Prosper,M,ZANU PF,19 045
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Mlilo Nqobizitha Mahole,M,MDC Alliance,6 969
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Mukobvu Rangarirai,M,ZIPP,166
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Mupeta Jacob,M,Independent,561
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Nyamadzawo Nyaradzo,,,115
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",Agnes,F,PRC,
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",RESULTS OF POLL,,,
"In respect of CHIRUMANZU ZIBAGWE Constituency, the results are a",,,,
,"In respect of CHIUNDURA Constituency, the results are as follows:",,,
,,,,
Constituency,Name of Candidate   Sex   Party Votes Received,,,
"In respect of CHIUNDURA Constituency, the results are as follows:",Chimina Livingstone,M,MDC Alliance,14 895
"In respect of CHIUNDURA Constituency, the results are as follows:",Guyo Thulisile,F,PRC,443
"In respect of CHIUNDURA Constituency, the results are as follows:",Monde  Michael,M,BZA,222
"In respect of CHIUNDURA Constituency, the results are as follows:",Murondiwa Blessing,M,Independent,3 153
"In respect of CHIUNDURA Constituency, the results are as follows:",Ndlovu Brown,M,ZANU PF,14 678
"In respect of CHIUNDURA Constituency, the results are as follows:",Tekede Ronica,F,ZIPP,319
"In respect of CHIUNDURA Constituency, the results are as follows:",Vika Wilbert,M,APA,79
"In respect of CHIUNDURA Constituency, the results are as follows:",RESULTS OF POLL,,,
"In respect of CHIUNDURA Constituency, the results are as follows:",,,,
,"In respect of GOKWE CENTRAL Constituency, the results are as follows:",,,
,,,,
Constituency,Name of Candidate Sex  Party Votes Received,,,
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Chawatama Johnson,M,CODE,318
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Chinyama Abel Desai,M,ZIPP,434
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Chipa Vushe,M,Independent,190
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Magombedze Tavonga,,,239
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Ranganai,M,PRC,
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Mangami  Dorothy,F,Independent,4496
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Matemadanda Victor,M,ZANU PF,9997
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Mutegwe Lisias,M,MDC Alliance,8207
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",Tembo Elika,F,NPF,192
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",RESULTS OF POLL,,,
"In respect of GOKWE CENTRAL Constituency, the results are as follows:",,,,
,"In respect of GOKWE CHIREYA Constituency, the results are as follows:",,,
,,,,
Constituency,Name of Candidate Sex Party  Votes Received,,,
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",Chipango Tawanda,M,CODE,433
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",Moyo Torerayi,M,ZANU PF,19 906
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",Nzvenga Robert,M,MDC Alliance,3 278
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",Tamanikwa Tonderai,M,ZIPP,165
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",Ziyambi Cletos,M,NPF,171
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",,,,
"In respect of GOKWE CHIREYA Constituency, the results are as follows:",,,,
,In respect,of,GOKWE,
,follows:,,,
Constituency,Name of Candidate,,,Sex
"GOKWE GUMUNYU Constituency, the",Muchakata Wilfred,M,ZDU,521
"GOKWE GUMUNYU Constituency, the",Ngwenya Stephen,M,ZANU PF,15 245
"GOKWE GUMUNYU Constituency, the",Tafireyi  Otis,M,ZIPP,155
"GOKWE GUMUNYU Constituency, the",Tagwireyi Zachia,M,MDC Alliance,2 593
"GOKWE GUMUNYU Constituency, the",Toga Conrad,M,CODE,79
"GOKWE GUMUNYU Constituency, the",,,,
"GOKWE GUMUNYU Constituency, the",,,,
,In respect,of,GOKWE,
,follows:,,,
Constituency,Name of Candidate,,,Sex
"GOKWE KABUYUNI Constituency, the",Chikomba Leonard,M,ZANU PF,15 695
"GOKWE KABUYUNI Constituency, the",Machingura Ireen,F,CODE,316
"GOKWE KABUYUNI Constituency, the",Mashanda Mikie,M,NPF,127
"GOKWE KABUYUNI Constituency, the",Masotsha Mandlenkosi,M,ZDU,110
"GOKWE KABUYUNI Constituency, the",Nyengerai Blessed,M,UDA,87
"GOKWE KABUYUNI Constituency, the",Siamponda David,M,MDC Alliance,7195
"GOKWE KABUYUNI Constituency, the",Tagwireyi Phainos,M,Independent,1080
"GOKWE KABUYUNI Constituency, the",RESULTS OF POLL,,,
"GOKWE KABUYUNI Constituency, the",,,,
