,RESULTS OF POLL,,,
,,,,
,"In respect of BUDIRIRO Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of BUDIRIRO Constituency, the results are as follows:",Chirombe Oddrey Sydney,M,MDC -T,4409
"In respect of BUDIRIRO Constituency, the results are as follows:",Chitate Nelson Tendai,M,Independent,611
"In respect of BUDIRIRO Constituency, the results are as follows:",Gatsi Clayton,M,PRC,212
"In respect of BUDIRIRO Constituency, the results are as follows:",Gomwe Godwin,M,ZANU PF,8529
"In respect of BUDIRIRO Constituency, the results are as follows:",Simbarashe,,,
"In respect of BUDIRIRO Constituency, the results are as follows:",Lupemba Derek,M,CODE,69
"In respect of BUDIRIRO Constituency, the results are as follows:",Machingauta Costa,M,MDC -Alliance,28575
"In respect of BUDIRIRO Constituency, the results are as follows:",Mavunga Kudakwashe,M,Independent,78
"In respect of BUDIRIRO Constituency, the results are as follows:",Evans,,,
"In respect of BUDIRIRO Constituency, the results are as follows:",Muchakasi Mary,F,NPF,60
"In respect of BUDIRIRO Constituency, the results are as follows:",Mudoka Edmore,M,ZIPP,67
"In respect of BUDIRIRO Constituency, the results are as follows:",Murwira Taona,M,Independent,61
"In respect of BUDIRIRO Constituency, the results are as follows:",Musindo Evelyn,F,NCA,68
"In respect of BUDIRIRO Constituency, the results are as follows:",Subuzikeni,,,
"In respect of BUDIRIRO Constituency, the results are as follows:",Shoniwa Ruth,F,FREEDOM FRONT,44
"In respect of BUDIRIRO Constituency, the results are as follows:",Tavengwa Silas,M,MAAT ZIM,28
"In respect of BUDIRIRO Constituency, the results are as follows:",,,,RESULTS OF POLL
"In respect of BUDIRIRO Constituency, the results are as follows:",,,,
,In respect,,of,"CHITUNGWIZA NORTH Constituency,"
,follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"CHITUNGWIZA NORTH Constituency,",Chikasha Tendayi,M,ZANU PF,6 262
"CHITUNGWIZA NORTH Constituency,",Dehwa Hapiness,F,UDA,166
"CHITUNGWIZA NORTH Constituency,",Dzinoreva George Chakaipa,M,ZIPP,102
"CHITUNGWIZA NORTH Constituency,",Kaseke Rufaro,M,Independent,115
"CHITUNGWIZA NORTH Constituency,",Maruta Wellington,M,Independent,136
"CHITUNGWIZA NORTH Constituency,",Mtembo Assan,M,Independent,3 312
"CHITUNGWIZA NORTH Constituency,",Mugadza Isaac,M,Independent,419
"CHITUNGWIZA NORTH Constituency,",Nyashero Michael,M,Build Zim Alliance,37
"CHITUNGWIZA NORTH Constituency,",Nyaungwa Desmond,M,MDC – T,1 499
"CHITUNGWIZA NORTH Constituency,",Pedzisayi,,,
"CHITUNGWIZA NORTH Constituency,",Samuriwo Esabel,F,ZDU,70
"CHITUNGWIZA NORTH Constituency,",Sithole Godfrey,M,MDC - Alliance,10 756
"CHITUNGWIZA NORTH Constituency,",Karakadzayi,,,
"CHITUNGWIZA NORTH Constituency,",Zharare Martins,M,PRC,49
"CHITUNGWIZA NORTH Constituency,",,,,RESULTS OF POLL
"CHITUNGWIZA NORTH Constituency,",,,,
,In respect,,of,"CHITUNGWIZA SOUTH Constituency,"
,follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"CHITUNGWIZA SOUTH Constituency,",Jasoni Shadreck,M,ZIPP,289
"CHITUNGWIZA SOUTH Constituency,",Kaliati Amos,M,MDC –T,3 340
"CHITUNGWIZA SOUTH Constituency,",Mafuratidze Goodwell,M,Zanu PF,8 434
"CHITUNGWIZA SOUTH Constituency,",Mahamba Chipo Bessie,F,Build Zim Alliance,419
"CHITUNGWIZA SOUTH Constituency,",Makaranga Tichaona,M,PPP,109
"CHITUNGWIZA SOUTH Constituency,",Mashinya Mabie,F,Independent,151
"CHITUNGWIZA SOUTH Constituency,",Mavhunga Maxwell,M,MDC –Alliance,15 823
"CHITUNGWIZA SOUTH Constituency,",Nyamusambira Brian,M,NPF,76
"CHITUNGWIZA SOUTH Constituency,",Ngonidzashe,,,
"CHITUNGWIZA SOUTH Constituency,",Svodziwa Jesca,F,UDA,27
"CHITUNGWIZA SOUTH Constituency,",Tamuka Lawrence,M,PRC,58
"CHITUNGWIZA SOUTH Constituency,",Jonathan,,,
"CHITUNGWIZA SOUTH Constituency,",Wallace Shailet,F,UANC,49
"CHITUNGWIZA SOUTH Constituency,",RESULTS OF POLL,,,
"CHITUNGWIZA SOUTH Constituency,",,,,
,"In respect of DZIVARESEKWA Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Chihota Collen,M,Build Zim Alliance,218
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Chimhini George Patrick,M,Zanu PF,9 422
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Chinouda Memory,F,NCA,110
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Gondongwe Tinashe,F,PRC,178
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Muchenje Irene,F,ZAPU,103
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Mufambisi Oliver,M,MDC- T,1984
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Mushoriwa Edwin,M,MDC -Alliance,15 134
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Muzanenhamo Ruth,F,UANC,32
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Nkala Simbarashe,M,Independent,155
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Nyaruwata Luke,M,Independent,166
"In respect of DZIVARESEKWA Constituency, the results are as follows:",Vhanga Nicodimus,M,NPF,58
"In respect of DZIVARESEKWA Constituency, the results are as follows:",RESULTS OF POLL,,,
"In respect of DZIVARESEKWA Constituency, the results are as follows:",,,,
,"In respect of EPWORTH Constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
"In respect of EPWORTH Constituency, the results are as follows:",Charakupa Kudzai,M,PRC,419
"In respect of EPWORTH Constituency, the results are as follows:",Shekelton,,,
