,RESULTS OF POLL,,,
,"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Gudo Mudinzwa Bruce Tawanda,M,NPF,1 455
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Kandenga Timothy,M,PRC,827
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Makonya Forget,M,MDC -T,1 141
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Matimba Ottiliah,F,MDC-ALLIANCE,5 758
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Misi Daisoni,M,CODE,121
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Ngwere Gerber,M,UDM,92
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",,,,
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",Nyashanu Mathew,M,ZANU PF,13 125
"In respect of BUHERA CENTRAL Constituency, the results are as follows:",RESULTS OF POLL,,,
,"In respect of BUHERA NORTH Constituency, the results are as follows:",,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,Received
"In respect of BUHERA NORTH Constituency, the results are as follows:",,,,
"In respect of BUHERA NORTH Constituency, the results are as follows:",,M,INDEPENDENT,88
"In respect of BUHERA NORTH Constituency, the results are as follows:",Chikwiri Munetsi Lasty,,,
"In respect of BUHERA NORTH Constituency, the results are as follows:",,,,
"In respect of BUHERA NORTH Constituency, the results are as follows:",Chinamasa Rinashe,M,NPF,212
"In respect of BUHERA NORTH Constituency, the results are as follows:",,,,
"In respect of BUHERA NORTH Constituency, the results are as follows:",Chirume Collen,M,MDC-T,491
"In respect of BUHERA NORTH Constituency, the results are as follows:",,,,
"In respect of BUHERA NORTH Constituency, the results are as follows:",Magarangoma Julius,M,MDC-ALLIANCE,5 755
"In respect of BUHERA NORTH Constituency, the results are as follows:",,,,
