,RESULTS OF POLL,,,
,"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",EREMIA MAFIOS,M,NPF,738
"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",MAPOLISA ISAAC,M,INDEPENDENT,494
"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",MATEVEKE HAPPYMORE,F,ZIPP,455
"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",NKANI ANDREW,M,ZANU PF,25 028
"In respect of CHAKARI NATIONAL ASSEMBLY CONSTITUENCY,",PHIRI ASIYATU,F,MDC ALLIANCE,4 202
,RESULTS OF POLL,,,
,,,,
,"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",BVUMO TAWANDA,M,MDC ALLIANCE,5 092
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",CHIDENDE ONIAS,M,MDC T,987
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",CHINDIYA WASHINGTON,M,INDEPENDENT,317
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",KAPETA SAMUEL,M,INDEPENDENT,442
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",KUNONGA CLEVER,M,NPF,272
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",MUCHENGA PARDON,M,INDEPENDENT,126
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",MUZARIRI AGNES,F,ZIPP,196
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",NDORO MATHEW,M,BZA,39
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",NHIRA DAVID,M,INDEPENDENT,271
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",SHAMU WEBSTER KOTIWANI,M,ZANU PF,15 873
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",ZIMANI ZVAKWANA PROSPER,M,PRC,333
"In respect of CHEGUTU EAST NATIONAL ASSEMBLY CONSTITUENCY,",RESULTS OF POLL,,,
,,,,
,"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",BOBO SHINGIRAI CANIOUS,M,PRC,180
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",DZINGIRAI TAVONGA,M,MDCT,1 796
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",KACHE SIMON,M,UCADPZ,224
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",KONJANI GIFT MACHOKA,M,MDC ALLIANCE,10 828
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",MUNATSI OWEN,M,NDF,381
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",MUNDAYI ARNOD FREDDIE,M,INDEPENDENT,539
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",MUSETA KENNEDY,M,UDA,76
"In respect of CHEGUTU WEST NATIONAL ASSEMBLY CONSTITUENCY,",NDUNA DEXTER,M,ZANU PF,10 932
,,RESULTS OF POLL,,
,,,,
,In respect of,"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",,
,the results are as follows:,,,
Consituency,Name of Candidate,Sex,Party,Votes Received
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",CHENEY RAY ANTHONY,M,INDEPENDENT,460
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",MAPFUMO DAMSON BOTHOLOMEW,M,FCZ,262
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",MATARUSE PETER,M,MDC ALLIANCE,17 931
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",MBONDIYA NELSON,M,MDC- T,753
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",MHANGWA LESLIE EVERMAN,M,PRC,817
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",NYANDORO JACOB ISRAEL,M,INDEPENDENT,290
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",SAURAMBA LAST TAGUMA,M,ZANU PF,9 096
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",TADERERA AUDINEY,M,NPF,298
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",TIGERE ONESAYI,M,BZA,113
"CHINHOYI NATIONAL ASSEMBLY CONSTITUENCY,",VIYAZHERO LOVEMORE,M,ZIPP,52
,RESULTS OF POLL,,,
,,,,
,"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",BANDA EVERJOY,F,ZIPP,454
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",KUIPA EBBA,F,NPF,2 118
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MAGUNJE TAWANDA R.,M,MDC ALLIANCE,7 439
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MANYEMBERE FIDELIS,M,PRC,211
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MUTERO TAYLOR,M,INDEPENDENT,495
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",NDIWENI DOUBT,M,ZANU PF,14 281
"In respect of HURUNGWE CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",NATIONAL ASSEMBLY ELECTION 2018,,,
,RESULTS OF POLL,,,
,,,,
,"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",CHONGO BATSIRAI,M,PRC,710
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",GUKWA MARKO,M,INDEPENDENT,634
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",MAHOKA SARAH,F,NPF,4 072
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",MASENDA NGONI T,M,ZANU PF,21 286
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",MHUKA TSITSI,F,ZIPP,204
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",NZIMBE EDSON,M,NZRP,198
"In respect of HURUNGWE EAST NATIONAL ASSEMBLY CONSTITUENCY,",NATIONAL ASSEMBLY ELECTION 2018,,,
,RESULTS OF POLL,,,
,,,,
,"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",BAMU ALECK,M,NPF,403
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",MAKANYAIRE WILSON,M,MDC ALLIANCE,7 311
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",MAKOMBE HENRY,M,ZIPP,264
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",MLISWA MARY T,F,ZANU PF,11 645
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",ROZARIO WASHINGTON,M,PRC,184
"In respect of HURUNGWE WEST NATIONAL ASSEMBLY CONSTITUENCY,",RESULTS OF POLL,,,
,,,,
,"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",DINDINGWE JOHN CLEVER,M,MDC ALLIANCE,5 779
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",GANDAWA MUSAVAYA ABILITY,M,ZANU PF,12 726
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",KAWARA COSMAR,M,NCA,506
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",MARAMBA HAPINESS,M,RZP,346
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",MAWARIRE MBIZVO JEALOUS,M,NPF,263
"In respect of HURUNGWE NORTH NATIONAL ASSEMBLY CONSTITUENCY,",RESULTS OF POLL,,,
,,,,
,"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",CHINYANGANYA MUCHINERIPI,M,MDC ALLIANCE,15 278
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",KARUKWARU MATHA,F,UANC,102
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",GAZA GIFT,M,ZIPP,332
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",KABVARA JEOFREY,M,PRC,152
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MAPURANGA LOVEMORE,M,NCA,79
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MATAMBO PETER CHANDAFIRA,M,MDC T,1 122
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MATOMBO EDSON MUNYARADZI,M,INDEPENDENT,1 654
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",MAVESERE ZIVANAYI,M,INDEPENDENT,2 031
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",PHIRI FANI PHANUEL,M,ZANU PF,7 382
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",SAITA NOEL,M,NPF,194
"In respect of KADOMA CENTRAL NATIONAL ASSEMBLY CONSTITUENCY,",TEMBO SOLOMON ISAAC,M,INDEPENDENT,1 152
,RESULTS OF POLL,,,
,,,,
,"In respect of KARIBA NATIONAL ASSEMBLY CONSTITUENCY,",,,
,the results are as follows:,,,
,,,,VOTES
Consituency,NAME OF CANDIDATE,SEX,PARTY,
,,,,RECEIVED
"In respect of KARIBA NATIONAL ASSEMBLY CONSTITUENCY,",HOUGHTON JOHN ROLAND,M,MDC,13258
"In respect of KARIBA NATIONAL ASSEMBLY CONSTITUENCY,",,,,
"In respect of KARIBA NATIONAL ASSEMBLY CONSTITUENCY,",,,ALLIANCE,
"In respect of KARIBA NATIONAL ASSEMBLY CONSTITUENCY,",MACKENZIE EVIDENCE TINOTENNDA,M,INDEPENDENT,619
