,RESULTS OF POLL,,,
,,,,
,"In respect of BIKITA EAST constituency, the results are as follows:",,,
Constituency,Name Of Candidate,Sex,Party,Votes Received
"In respect of BIKITA EAST constituency, the results are as follows:",Madhuku Johnson,M,ZANU PF,10 261
"In respect of BIKITA EAST constituency, the results are as follows:",Mudzingwa Bornface,M,MDC-Alliance,8 542
"In respect of BIKITA EAST constituency, the results are as follows:",Ngarivhume Jacob,M,MDC-Alliance,638
"In respect of BIKITA EAST constituency, the results are as follows:",Chengedzeni Satiya,,,
"In respect of BIKITA EAST constituency, the results are as follows:",Rambe Ernest,M,NCA,76
,,RESULTS OF POLL,,
,,,,
,In respect of BIKITA SOUTH,"constituency, the results are as follows:",,
Constituency,Name Of Candidate,Sex,Party,Votes Received
In respect of BIKITA SOUTH,Jaboon Jeppy,M,MDC-Alliance,3 587
In respect of BIKITA SOUTH,Mukatawa Tawanda,M,MDC T,792
In respect of BIKITA SOUTH,Mukuwe Robert,M,PRC,342
In respect of BIKITA SOUTH,Nyajena Charles,M,Independent,1 815
In respect of BIKITA SOUTH,Sithole Josiah,M,ZANU PF,10 559
In respect of BIKITA SOUTH,Ziki Dennis Anyway,M,NCA,88
,RESULTS OF POLL,,,
,,,,
,"In respect of BIKITA WEST constituency, the results are as follows:",,,
Constituency,Name Of Candidate,Sex,Party,Votes Received
"In respect of BIKITA WEST constituency, the results are as follows:",BHADHARAI,M,MDC-ALLIANCE,7 409
"In respect of BIKITA WEST constituency, the results are as follows:",KUDAKWASHE,,,
"In respect of BIKITA WEST constituency, the results are as follows:",CHIVASA MADOCK,M,NCA,463
"In respect of BIKITA WEST constituency, the results are as follows:",TATIRAI,,,
"In respect of BIKITA WEST constituency, the results are as follows:",KATEMA BENJAMIN,M,MDC T,592
"In respect of BIKITA WEST constituency, the results are as follows:",MUSAKWA ELIA,M,ZANU PF,12 991
,,RESULTS OF POLL,,
,,,,
,In respect of,CHIREDZI EAST NATIONAL ASSEMBLY,"constituency,",
,the results are as follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
CHIREDZI EAST NATIONAL ASSEMBLY,,,,
CHIREDZI EAST NATIONAL ASSEMBLY,MAKUNI SURE,M,MDC ALLIANCE,3 889
CHIREDZI EAST NATIONAL ASSEMBLY,MASIYA DENFORD,M,ZANU PF,11 052
,,,,RESULTS OF POLL
,,,,
,In,respect,of,CHIREDZI NORTH NATIONAL
,"constituency, the results are as follows:",,,
Constituency,Name of Candidate,Sex,Party,Votes Received
CHIREDZI NORTH NATIONAL,BHILLA ROYI,M,ZANU PF,35 893
CHIREDZI NORTH NATIONAL,,,,
CHIREDZI NORTH NATIONAL,CHITURUMANI,M,NPF,1 291
CHIREDZI NORTH NATIONAL,JOSEPH,,,
CHIREDZI NORTH NATIONAL,MACHIVA FAITH,F,ZIPP,635
,RESULTS OF POLL,,,
,,,,
,"In respect of CHIREDZI SOUTH NATIONAL ASSEMBLY constituency,",,,
,the results are as follows:,,,
Constituency,Name Of Candidate,Sex,Party,Votes Received
"In respect of CHIREDZI SOUTH NATIONAL ASSEMBLY constituency,",Chinhavi Jephias,M,Independent,780
"In respect of CHIREDZI SOUTH NATIONAL ASSEMBLY constituency,",Gwanetsa Kalisto Killion,M,ZANU PF,9 710
"In respect of CHIREDZI SOUTH NATIONAL ASSEMBLY constituency,",Shumba Sithembinkosi,M,MDC T,431
"In respect of CHIREDZI SOUTH NATIONAL ASSEMBLY constituency,",Tsumele Patrick,M,MDC-Alliance,1 936
,,RESULTS OF POLL,,
,,,,
,In respect of,CHIREDZI WEST NATIONAL ASSEMBLY,"constituency,",
,the results are as follows:,,,
Constituency,Name of Candidate,Sex,Party,Votes Received
CHIREDZI WEST NATIONAL ASSEMBLY,BALOYI,M,INDEPENDENT,2 493
CHIREDZI WEST NATIONAL ASSEMBLY,SIMBARASHE,,,
CHIREDZI WEST NATIONAL ASSEMBLY,BHEBHE LIVISON,M,INDEPENDENT,335
CHIREDZI WEST NATIONAL ASSEMBLY,CHIWA,M,INDEPENDENT,2361
CHIREDZI WEST NATIONAL ASSEMBLY,DARLINGTON,,,
CHIREDZI WEST NATIONAL ASSEMBLY,MAJEKWANA,F,ZIPP,220
CHIREDZI WEST NATIONAL ASSEMBLY,FUNGISAI,,,
CHIREDZI WEST NATIONAL ASSEMBLY,MAKONESE,M,NPF,259
CHIREDZI WEST NATIONAL ASSEMBLY,SAMSON,,,
CHIREDZI WEST NATIONAL ASSEMBLY,ALPHONCE,,,
CHIREDZI WEST NATIONAL ASSEMBLY,MANGANYE,M,INDEPENDENT,890
CHIREDZI WEST NATIONAL ASSEMBLY,JOHN,,,
CHIREDZI WEST NATIONAL ASSEMBLY,MUSIKAVANHU,M,ZANU PF,15 759
CHIREDZI WEST NATIONAL ASSEMBLY,DUMO,,,
CHIREDZI WEST NATIONAL ASSEMBLY,AUGUSTINE,,,
CHIREDZI WEST NATIONAL ASSEMBLY,TEMBA STANLEY,M,MDC ALLIANCE,10 508
,RESULTS OF POLL,,,
,,,,
,"In respect of CHIVI CENTRAL constituency, the results are as follows:",,,
Constituency,NAME OF,,,VOTES
,,,,
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Chinjakanja Joseph,M,MDC T,892
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Chivhanga Henry,M,MDC-Alliance,4 694
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Gwanongodza,M,ZANU PF,14 186
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Ephraim,,,
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Mbangure Clophas,M,ZIPP,214
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Mbenganai Esau,M,NCA,90
"In respect of CHIVI CENTRAL constituency, the results are as follows:",,,PEOPLE'S RAINBOW,194
"In respect of CHIVI CENTRAL constituency, the results are as follows:",Sharara Brighton,M,COALITION,
,RESULTS OF POLL,,,
,,,,
,"In respect of CHIVI NORTH constituency, the results are as follows:",,,
