RESULTS OF POLL,,,,
,,,,
"In respect of BINGA NORTH constituency, the results are as follows:",,,,
,,,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,
,,,,Received
,,,,
"In respect of BINGA NORTH constituency, the results are as follows:",Mudenda Cephas Siangoma,M,ZANU-PF,7 751
"In respect of BINGA NORTH constituency, the results are as follows:",Mudimba Jessie,F,PRC,621
"In respect of BINGA NORTH constituency, the results are as follows:",Munkuli Funwell,M,NCA,403
"In respect of BINGA NORTH constituency, the results are as follows:",Muntanga Robert Baggio,M,ZIPP,384
"In respect of BINGA NORTH constituency, the results are as follows:",Mwembe Peter,M,NPF,191
"In respect of BINGA NORTH constituency, the results are as follows:",Siampuwo Robert,M,INDEPENDENT,133
"In respect of BINGA NORTH constituency, the results are as follows:",Sibanda Dubeko Prince,M,MDC- A,18 428
RESULTS OF POLL,,,,
,,,,
"In respect of BINGA SOUTH constituency, the results are as follows:",,,,
,,,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,
,,,,Received
,,,,
"In respect of BINGA SOUTH constituency, the results are as follows:",Chumanzala Fanuel,M,INDEPENDENT,7 390
"In respect of BINGA SOUTH constituency, the results are as follows:",Gabbuza Joel Gabuza,M,MDC-ALLIANCE,10 357
"In respect of BINGA SOUTH constituency, the results are as follows:",Kamombo Tobias,M,PRC,262
"In respect of BINGA SOUTH constituency, the results are as follows:",Mpande Mcabango,M,APA,265
"In respect of BINGA SOUTH constituency, the results are as follows:",Mudenda Mackson,M,ZANU-PF,6 511
"In respect of BINGA SOUTH constituency, the results are as follows:",Mujaka John,M,NCA,104
"In respect of BINGA SOUTH constituency, the results are as follows:",Munkombwe Dube,M,MDC-T,1 428
"In respect of BINGA SOUTH constituency, the results are as follows:",Mwiinde Laison,M,ZIPP,162
"In respect of BINGA SOUTH constituency, the results are as follows:",Nkomo Mpilo,M,UDF,144
"In respect of BINGA SOUTH constituency, the results are as follows:",Nyati Titus,M,ZAPU,355
RESULTS OF POLL,,,,
,,,,
"In respect of BUBI constituency, the results are as follows:",,,,
,,,,
,,,,Votes
Constituency,Name of Candidate,Sex,Party,
,,,,Received
,,,,
"In respect of BUBI constituency, the results are as follows:",Bhebhe Benny,M,RPZ,600
"In respect of BUBI constituency, the results are as follows:",Gumede Zenzele,F,MRP,413
"In respect of BUBI constituency, the results are as follows:",Mathambo Cecil,M,NPF,627
"In respect of BUBI constituency, the results are as follows:",Mguni Sonny Key,M,ZANU-PF,16 214
"In respect of BUBI constituency, the results are as follows:",Mlotshwa Thabani,M,ZAPU,413
"In respect of BUBI constituency, the results are as follows:",Moyo Dumisani,M,MDC-ALLIANCE,5 819
"In respect of BUBI constituency, the results are as follows:",Mpofu Vuyile Jamela,M,INDEPENDENT,244
"In respect of BUBI constituency, the results are as follows:",Muyambi Sydney,M,ZIPP,193
