"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Gudo Mudinzwa Bruce Tawanda,M,NPF,1 455
"",,,
"",,,
Kandenga Timothy,M,PRC,827
"",,,
"",,,
Makonya Forget,M,MDC -T,1 141
"",,,
"",,,
Matimba Ottiliah,F,MDC-ALLIANCE,5 758
"",,,
"",,,
Misi Daisoni,M,CODE,121
"",,,
"",,,
Ngwere Gerber,M,UDM,92
"",,,
"",,,
Nyashanu Mathew,M,ZANU PF,13 125
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
"",M,INDEPENDENT,88
Chikwiri Munetsi Lasty,,,
"",M,NPF,
Chinamasa Rinashe,,,212
"",M,MDC-T,
Chirume Collen,,,491
"",,,
Magarangoma Julius,M,MDC-ALLIANCE,
"",,,5 755
"",,,
"",,,
"",M,,
Mombeyarara Leonard,,,
Mukucha,,ZIPP,99
"",,,
"",M,ZANU PF,10 056
Mutomba William,,,
"",,,
Nyika Rodwell Tendai,M,INDEPENDENT,
"",,,27
"",,,
Zvareva Lloyd,M,PRC,220
Name of Candidate,Sex,Party,Votes Received
"",,,
Chinotimba Joseph,M,ZANU PF,13 141
"",,,
"",,,
"",,MDC,
Mabika Edwin,M,ALLIANCE,6 325
"",,,
"",,,
"",,,
Mudekunye Ngonidzashe,M,INDEPENDENT,3 705
"",,,
"",,,
Sithole Isaya,M,PRC,87
"",,,
"",,,
Mutero Jesmiel,M,ZIPP,59
Name of Candidate,Sex,Party,Votes Received
Chiguware Shephard,,,275
"",M,Independent,
Dzuma Soul,,,11901
"",M,ZANU (PF),
"",,People's,209
Mashangana Owen,,,
"",,Rainbow,
"",M,Coalition (PRC),
Matewu Jaison Andrew,,,9227
"",M,MDC-Alliance,
Mupungu Kelvin Teurayi,,,407
"",M,Independent,
Name of Candidate,Sex,Party,Votes Received
"",,,
Chikukwa Macdonald,M,PRC,711
"",,,
"",,,
Dube Innocent,M,INDEPENDENT,217
"",,,
"",,,
Gwizah Maibah James,M,CODE,174
"",,,
"",,,
Mahwendepi Batsirayi,,,228
Enock,M,INDEPENDENT,
"",,,
"",,,
Mudhluli Maxwell,M,MDC –ALLIANCE,3034
"",,,
Mukwayo Prudence,F,NCA,81
"",,,
"",,,
Muusha Patrick,M,FZC,75
"",,,
"",,,
Sacco Joshua Kurt,M,ZANU PF,16492
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Bata Nomatter,F,CODE,166
"",,,
"",,,
Chauke Alexander,M,ZDU,191
"",,,
"",,,
Jinga Tinashe,M,MDC-T,0
"",,,
"",,,
Kashiri John Wesley,M,PRC,113
"",,,
"",,,
Mambakwe Panganai,M,"# 1980 CHINHU",66
"",,CHEDU,
"",,,
Matiashe Canaan,M,MDC-Alliance,9199
"",,,
"",,,
Matsikenyere,,,10757
Nokuthula,F,ZANU PF,
Name of Candidate,Sex,Party,Votes Received
Dhlumo Livingstone,M,MDC Alliance,7606
Dube Robert,M,MDC-T,1037
Machingura Raymore,M,ZANU PF,12167
Muhlupeko Vhurande,M,NCA,146
Maremudze Notion,M,ZIPP,146
