"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
EREMIA MAFIOS,M,NPF,738
MAPOLISA ISAAC,M,INDEPENDENT,494
MATEVEKE HAPPYMORE,F,ZIPP,455
NKANI ANDREW,M,ZANU PF,25 028
PHIRI ASIYATU,F,MDC ALLIANCE,4 202
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
BVUMO TAWANDA,M,MDC ALLIANCE,5 092
CHIDENDE ONIAS,M,MDC T,987
CHINDIYA WASHINGTON,M,INDEPENDENT,317
KAPETA SAMUEL,M,INDEPENDENT,442
KUNONGA CLEVER,M,NPF,272
MUCHENGA PARDON,M,INDEPENDENT,126
MUZARIRI AGNES,F,ZIPP,196
NDORO MATHEW,M,BZA,39
NHIRA DAVID,M,INDEPENDENT,271
SHAMU WEBSTER KOTIWANI,M,ZANU PF,15 873
ZIMANI ZVAKWANA PROSPER,M,PRC,333
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
BOBO SHINGIRAI CANIOUS,M,PRC,180
DZINGIRAI TAVONGA,M,MDCT,1 796
KACHE SIMON,M,UCADPZ,224
KONJANI GIFT MACHOKA,M,MDC ALLIANCE,10 828
MUNATSI OWEN,M,NDF,381
MUNDAYI ARNOD FREDDIE,M,INDEPENDENT,539
MUSETA KENNEDY,M,UDA,76
NDUNA DEXTER,M,ZANU PF,10 932
Name of Candidate,Sex,Party,Votes Received
CHENEY RAY ANTHONY,M,INDEPENDENT,460
MAPFUMO DAMSON BOTHOLOMEW,M,FCZ,262
MATARUSE PETER,M,MDC ALLIANCE,17 931
MBONDIYA NELSON,M,MDC- T,753
MHANGWA LESLIE EVERMAN,M,PRC,817
NYANDORO JACOB ISRAEL,M,INDEPENDENT,290
SAURAMBA LAST TAGUMA,M,ZANU PF,9 096
TADERERA AUDINEY,M,NPF,298
TIGERE ONESAYI,M,BZA,113
VIYAZHERO LOVEMORE,M,ZIPP,52
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
BANDA EVERJOY,F,ZIPP,454
KUIPA EBBA,F,NPF,2 118
MAGUNJE TAWANDA R.,M,MDC ALLIANCE,7 439
MANYEMBERE FIDELIS,M,PRC,211
MUTERO TAYLOR,M,INDEPENDENT,495
NDIWENI DOUBT,M,ZANU PF,14 281
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
CHONGO BATSIRAI,M,PRC,710
GUKWA MARKO,M,INDEPENDENT,634
MAHOKA SARAH,F,NPF,4 072
MASENDA NGONI T,M,ZANU PF,21 286
MHUKA TSITSI,F,ZIPP,204
NZIMBE EDSON,M,NZRP,198
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
BAMU ALECK,M,NPF,403
MAKANYAIRE WILSON,M,MDC ALLIANCE,7 311
MAKOMBE HENRY,M,ZIPP,264
MLISWA MARY T,F,ZANU PF,11 645
ROZARIO WASHINGTON,M,PRC,184
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
DINDINGWE JOHN CLEVER,M,MDC ALLIANCE,5 779
GANDAWA MUSAVAYA ABILITY,M,ZANU PF,12 726
KAWARA COSMAR,M,NCA,506
MARAMBA HAPINESS,M,RZP,346
MAWARIRE MBIZVO JEALOUS,M,NPF,263
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
CHINYANGANYA MUCHINERIPI,M,MDC ALLIANCE,15 278
KARUKWARU MATHA,F,UANC,102
GAZA GIFT,M,ZIPP,332
KABVARA JEOFREY,M,PRC,152
MAPURANGA LOVEMORE,M,NCA,79
MATAMBO PETER CHANDAFIRA,M,MDC T,1 122
MATOMBO EDSON MUNYARADZI,M,INDEPENDENT,1 654
MAVESERE ZIVANAYI,M,INDEPENDENT,2 031
PHIRI FANI PHANUEL,M,ZANU PF,7 382
SAITA NOEL,M,NPF,194
TEMBO SOLOMON ISAAC,M,INDEPENDENT,1 152
"",,,VOTES
NAME OF CANDIDATE,SEX,PARTY,
"",,,RECEIVED
"",,MDC,13258
HOUGHTON JOHN ROLAND,M,,
"",,ALLIANCE,
MACKENZIE EVIDENCE TINOTENNDA,M,INDEPENDENT,619
