Name Of Candidate,Sex,Party,Votes Received
Madhuku Johnson,M,ZANU PF,10 261
Mudzingwa Bornface,M,MDC-Alliance,8 542
Ngarivhume Jacob,M,MDC-Alliance,638
Chengedzeni Satiya,,,
Rambe Ernest,M,NCA,76
Name Of Candidate,Sex,Party,Votes Received
Jaboon Jeppy,M,MDC-Alliance,3 587
Mukatawa Tawanda,M,MDC T,792
Mukuwe Robert,M,PRC,342
Nyajena Charles,M,Independent,1 815
Sithole Josiah,M,ZANU PF,10 559
Ziki Dennis Anyway,M,NCA,88
Name Of Candidate,Sex,Party,Votes Received
BHADHARAI,M,MDC-ALLIANCE,7 409
KUDAKWASHE,,,
CHIVASA MADOCK,M,NCA,463
TATIRAI,,,
KATEMA BENJAMIN,M,MDC T,592
MUSAKWA ELIA,M,ZANU PF,12 991
Name of Candidate,Sex,Party,Votes Received
"",,,
MAKUNI SURE,M.,MDC ALLIANCE,3 889
MASIYA DENFORD,M,ZANU PF,11 052
Name of Candidate,Sex,Party,Votes Received
BHILLA ROYI,M,ZANU PF,35 893
"",,,
CHITURUMANI,M,NPF,1 291
JOSEPH,,,
MACHIVA FAITH,F,ZIPP,635
Name Of Candidate,Sex,Party,Votes Received
Chinhavi Jephias,M,Independent,780
Gwanetsa Kalisto Killion,M,ZANU PF,9 710
Shumba Sithembinkosi,M,MDC T,431
Tsumele Patrick,M,MDC-Alliance,1 936
Name of Candidate,Sex,Party,Votes Received
BALOYI,M,INDEPENDENT,2 493
SIMBARASHE,,,
BHEBHE LIVISON,M,INDEPENDENT,335
CHIWA,M,INDEPENDENT,2361
DARLINGTON,,,
MAJEKWANA,F,ZIPP,220
FUNGISAI,,,
MAKONESE,M,NPF,259
SAMSON,,,
ALPHONCE,,,
MANGANYE,M,INDEPENDENT,890
JOHN,,,
MUSIKAVANHU,M,ZANU PF,15 759
DUMO,,,
AUGUSTINE,,,
TEMBA STANLEY,M,MDC ALLIANCE,10 508
NAME OF,,,VOTES
CANDIDATE,SEX,PARTY,RECEIVED
Chinjakanja Joseph,M,MDC T,892
Chivhanga Henry,M,MDC-Alliance,4 694
Gwanongodza,,,14 186
Ephraim,M,ZANU PF,
Mbangure Clophas,M,ZIPP,214
Mbenganai Esau,M,NCA,90
"",,PEOPLE'S RAINBOW,194
Sharara Brighton,M,COALITION,
Name Of Candidate,Sex,Party,Votes Received
Mapipi Dickson,M,MDC-Alliance,4 905
Mudzivo Owen,M,PRZ,494
Tongofa Mathias,M,ZANU-PF,10 627
Name Of Candidate,Sex,Party,Votes Received
Dzingirai Ivene,M,Independent,1 823
Madzimure Tarisai,F,PRC,226
Malunguza Sharon,F,RPZ,184
Mhlolo Paul Thompson,M,MDC Alliance,3 312
Zivhu Killer,M,ZANU PF,13 330
Zizhou Togarepi,M,ZIPP,248
Name Of Candidate,Sex,Party,Votes Received
Bikoloni Shillah,F,Build Zimbabwe Alliance,128
Chitando Wiston,M,ZANU PF,11 496
Mafuratidze Last,M,PRC,163
Mandigo Enerst,M,MDC-Alliance,3 805
Musoni Crispa Zvovuno,M,MDC-Alliance,1 048
Rugwaro Pias,M,MDC T,149
Name Of Candidate,Sex,Party,Votes Received
Chikwama Berta,F,ZANU PF,7 203
Chirume Kuraoga,M,MDC T,1 045
Godfrey,,,
Marwiza Jackson,M,MDC-Alliance,5 020
Name Of Candidate,Sex,Party,Votes Received
Manyere Juniel,M,MDC-Alliance,3 278
Wakurawarerwa Jonah,M,MDC-T,436
Simbanegavi Yeukai,M,ZANU PF,8 080
Name Of Candidate,Sex,Party,Votes Received
Mudzamiri Thomas,M,NCA,224
Musendekwa Eriam,M,MDC-Alliance,6 052
Mutero Fanuel,M,MDC T,259
