SER,PROVINCE,CONSTITUENCY,WINNING CANDIDATE,SEX,PARTY
1,Bulawayo Metropolitan,Bulawayo Central,Watson Nicola Jane,F,MDC- Alliance
2,Bulawayo Metropolitan,Bulawayo East,Nyoni Ilos,M,MDC- Alliance
3,Bulawayo Metropolitan,Bulawayo South,Modi Rajeshkumar. Indukant,M,ZANU PF
4,Bulawayo Metropolitan,Emakhandeni-Entumbane,Tshuma Dingilizwe,M,MDC- Alliance
5,Bulawayo Metropolitan,Lobengula,Banda Gift,M,MDC- Alliance
6,Bulawayo Metropolitan,Luveve,Ndlovu Stella,F,MDC- Alliance
7,Bulawayo Metropolitan,Magwegwe,Ndebele Anele,M,MDC- Alliance
8,Bulawayo Metropolitan,Makokoba,Sithole James,M,MDC- Alliance
9,Bulawayo Metropolitan,Nketa,Masuku Phelela,M,MDC- Alliance
10,Bulawayo Metropolitan,Nkulumane,Phulu Kucaca Ivumile,M,MDC- Alliance
11,Bulawayo Metropolitan,Pelandaba-Mpopoma,Moyo Charles,M,MDC- Alliance
12,Bulawayo Metropolitan,Pumula,Mahlangu Sichelesile,F,MDC- Alliance
13,Harare Metropolitan,Budiriro,Machingauta Coster,M,MDC- Alliance
14,Harare Metropolitan,Chitungwiza North,Sithole Godfrey Karakadzayi,M,MDC- Alliance
15,Harare Metropolitan,Chitungwiza South,Mavhunga Maxwell,M,MDC- Alliance
16,Harare Metropolitan,Dzivarasekwa,Mushoriwa Edwin,M,MDC- Alliance
17,Harare Metropolitan,Epworth,Kureva Earthrage,M,MDC- Alliance
18,Harare Metropolitan,Glen Norah,Chikombo Wellington,M,MDC- Alliance
19,Harare Metropolitan,Glenview North,Dinar Kennedy,M,MDC- Alliance
20,Harare Metropolitan,Glenview South,Tsvangirai Java Vimbayi,F,MDC- Alliance
21,Harare Metropolitan,Harare Central,Zwizwai Murisi,M,MDC- Alliance
22,Harare Metropolitan,Harare East,Biti Laxton Tendai,M,MDC- Alliance
23,Harare Metropolitan,Harare North,Markham Allan Norman,M,MDC- Alliance
24,Harare Metropolitan,Harare South,Mnangagwa Tongai Mafidi,M,ZANU PF
25,Harare Metropolitan,Harare West,Mamombe Joanah,F,MDC- Alliance
26,Harare Metropolitan,Hatfield,Mashakada Tapiwa,M,MDC- Alliance
27,Harare Metropolitan,Highfield East,Murai Erick,M,MDC- Alliance
28,Harare Metropolitan,Highfield West,Chidziva Happymore,M,MDC- Alliance
29,Harare Metropolitan,Kambuzuma,Madzimure Willias,M,MDC- Alliance
30,Harare Metropolitan,Kuwadzana,Mushayi Miriam,F,MDC- Alliance
31,Harare Metropolitan,Kuwadzana East,Hwende Chalton,M,MDC- Alliance
32,Harare Metropolitan,Mabvuku-Tafara,Chidakwa James,M,MDC- Alliance
33,Harare Metropolitan,Mbare,Chamisa Starman,M,MDC- Alliance
34,Harare Metropolitan,Mount Pleasant,Banda Samuel,M,MDC- Alliance
35,Harare Metropolitan,Mufakose,Matsunga Susan,F,MDC- Alliance
36,Harare Metropolitan,Southerton,Moyo Peter,M,MDC- Alliance
37,Harare Metropolitan,St Marys,Tarusenga Unganai Dickson,M,MDC- Alliance
38,Harare Metropolitan,Sunningdale,Kankuni Winnie,F,MDC- Alliance
39,Harare Metropolitan,Warren Park,Hamauswa Shakespear,M,MDC- Alliance
40,Harare Metropolitan,Zengeza East,Chimbaira Goodrich,M,MDC- Alliance
41,Harare Metropolitan,Zengeza West,Sikhala Job,M,MDC- Alliance
42,Manicaland,Buhera Central,Nyashanu Mathew,M,ZANU PF
43,Manicaland,Buhera North,Mutomba William,M,ZANU PF
44,Manicaland,Buhera South,Chinotimba Joseph,M,ZANU PF
45,Manicaland,Buhera West,Dzuma Soul,M,ZANU PF
46,Manicaland,Chimanimani East,Sacco Joshua Kurt,M,ZANU PF
47,Manicaland,Chimanimani West,Matsikenyere Nokuthula,F,ZANU PF
48,Manicaland,Chipinge Central,Machingura Raymore,M,ZANU PF
49,Manicaland,Chipinge East,Mlambo Mathias Matewu,M,MDC- Alliance
50,Manicaland,Chipinge South,Porusingazi Enock,M,ZANU PF
51,Manicaland,Chipinge West,Nyamudeza Sibonile,M,MDC- Alliance
52,Manicaland,Dangamvura/Chikanga,Mutseyami Chapfiwa Prosper,M,MDC- Alliance
53,Manicaland,Headlands,Chingosho Christopher Peter,M,ZANU PF
54,Manicaland,Makoni Central,Tekeshe David,M,MDC- Alliance
55,Manicaland,Makoni North,Munetsi James,M,ZANU PF
56,Manicaland,Makoni South,Mataranyika Dudzai Misheck,M,ZANU PF
57,Manicaland,Makoni West,Muswere Jenfan,M,ZANU PF
58,Manicaland,Musikavanhu,Murire Joshua,M,ZANU PF
59,Manicaland,Mutare Central,Gonese Innocent Tinashe,M,MDC- Alliance
60,Manicaland,Mutare North,Madiro Michael,M,ZANU PF
61,Manicaland,Mutare South,Ngome Jefry,M,ZANU PF
62,Manicaland,Mutare West,Muchimwe Percy Teedzai,M,ZANU PF
63,Manicaland,Mutasa Central,Saruwaka Trevor Jones Lovelace,M,MDC- Alliance
64,Manicaland,Mutasa North,Madiwa Chido,F,ZANU PF
65,Manicaland,Mutasa South,Tsunga Regai,M,MDC- Alliance
66,Manicaland,Nyanga North,Sanyatwe Chido,F,ZANU PF
67,Manicaland,Nyanga South,Mandiwanzira Supa Collins,M,ZANU PF
68,Mashonaland Central,Bindura North,Musanhi Kenneth. Shupikai,M,ZANU PF
69,Mashonaland Central,Bindura South,Matangira Toendepi. Remigious,M,ZANU PF
